Diamond	nTrees	xPos	FoundOneEdge	CorrectNetwork	HasHybridEdge
d1	250	0.7000000000000001	20	19	19
d1	1000	0.9000000000000001	20	20	20
d1	4000	1.1	20	20	20
d2	250	1.7000000000000002	20	18	18
d2	1000	1.9000000000000001	20	20	20
d2	4000	2.1	20	20	20
d3	250	2.7	20	19	19
d3	1000	2.9000000000000004	20	20	20
d3	4000	3.1000000000000005	20	20	20
d4	250	3.6999999999999997	20	20	20
d4	1000	3.9	19	19	19
d4	4000	4.1	20	20	20
d5	250	4.699999999999999	19	18	18
d5	1000	4.8999999999999995	20	20	20
d5	4000	5.1	20	20	20
d6	250	5.699999999999999	20	18	18
d6	1000	5.8999999999999995	20	20	20
d6	4000	6.1	20	20	20
d7	250	6.699999999999999	20	20	20
d7	1000	6.8999999999999995	20	20	20
d7	4000	7.1	20	20	20
d8	250	7.699999999999999	20	19	19
d8	1000	7.8999999999999995	20	20	20
d8	4000	8.1	20	20	20
d9	250	8.7	20	7	7
d9	1000	8.899999999999999	20	18	18
d9	4000	9.099999999999998	20	20	20
