Diamond	nTrees	xPos	FoundOneEdge	CorrectNetwork	HasHybridEdge
d1	100	0.7	89	100	100
d1	500	0.9	99	100	100
d1	1000	1.1	97	100	100
d1	5000	1.3	97	100	100
d2	100	1.7	89	99	100
d2	500	1.9	97	100	100
d2	1000	2.1	100	100	100
d2	5000	2.3	100	100	100
d3	100	2.7	90	100	100
d3	500	2.9	99	100	100
d3	1000	3.1	100	100	100
d3	5000	3.3	94	100	100
d4	100	3.7	84	100	100
d4	500	3.9	100	100	100
d4	1000	4.1	100	100	100
d4	5000	4.3	99	100	100
d5	100	4.7	90	100	100
d5	500	4.9	99	100	100
d5	1000	5.1	100	100	100
d5	5000	5.3	99	100	100
d6	100	5.7	88	100	100
d6	500	5.9	99	100	100
d6	1000	6.1	100	100	100
d6	5000	6.3	100	100	100
d7	100	6.7	89	100	100
d7	500	6.9	95	100	100
d7	1000	7.1	99	100	100
d7	5000	7.3	100	100	100
d8	100	7.7	89	100	100
d8	500	7.9	100	100	100
d8	1000	8.1	99	100	100
d8	5000	8.3	100	100	100
d9	100	8.7	95	100	100
d9	500	8.9	98	100	100
d9	1000	9.1	100	100	100
d9	5000	9.3	100	100	100
