Diamond	nTrees	xPos	FoundOneEdge	CorrectNetwork	HasHybridEdge
d1	100	0.7	66	96	100
d1	500	0.9	80	97	100
d1	1000	1.1	76	95	100
d1	5000	1.3	82	98	100
d2	100	1.7	65	92	100
d2	500	1.9	67	93	100
d2	1000	2.1	82	95	100
d2	5000	2.3	69	94	100
d3	100	2.7	50	98	100
d3	500	2.9	59	100	100
d3	1000	3.1	70	99	100
d3	5000	3.3	69	99	100
d4	100	3.7	44	97	100
d4	500	3.9	48	100	100
d4	1000	4.1	55	99	100
d4	5000	4.3	65	100	100
d5	100	4.7	82	100	100
d5	500	4.9	94	99	100
d5	1000	5.1	83	100	100
d5	5000	5.3	84	100	100
d6	100	5.7	39	96	100
d6	500	5.9	44	100	100
d6	1000	6.1	54	100	100
d6	5000	6.3	62	100	100
d7	100	6.7	26	98	100
d7	500	6.9	15	100	100
d7	1000	7.1	21	100	100
d7	5000	7.3	17	100	100
d8	100	7.7	66	100	100
d8	500	7.9	86	100	100
d8	1000	8.1	86	100	100
d8	5000	8.3	77	100	100
d9	100	8.7	67	100	100
d9	500	8.9	72	100	100
d9	1000	9.1	81	100	100
d9	5000	9.3	74	100	100
