Diamond	nTrees	xPos	FoundOneEdge	CorrectNetwork	HasHybridEdge
d1	100	0.7	71	89	100
d1	500	0.9	80	92	100
d1	1000	1.1	89	98	100
d1	5000	1.3	81	97	100
d2	100	1.7	63	86	99
d2	500	1.9	72	97	100
d2	1000	2.1	71	97	100
d2	5000	2.3	78	98	100
d3	100	2.7	67	86	100
d3	500	2.9	96	99	100
d3	1000	3.1	93	99	100
d3	5000	3.3	78	100	100
d4	100	3.7	67	96	100
d4	500	3.9	80	100	100
d4	1000	4.1	77	100	100
d4	5000	4.3	75	96	100
d5	100	4.7	70	100	100
d5	500	4.9	86	100	100
d5	1000	5.1	82	100	100
d5	5000	5.3	82	100	100
d6	100	5.7	66	95	100
d6	500	5.9	88	100	100
d6	1000	6.1	86	100	100
d6	5000	6.3	92	100	100
d7	100	6.7	56	98	100
d7	500	6.9	87	99	100
d7	1000	7.1	83	100	100
d7	5000	7.3	58	100	100
d8	100	7.7	62	99	100
d8	500	7.9	85	100	100
d8	1000	8.1	82	100	100
d8	5000	8.3	79	100	100
d9	100	8.7	55	99	99
d9	500	8.9	66	100	100
d9	1000	9.1	68	100	100
d9	5000	9.3	71	100	100
