Diamond	nTrees	xPos	FoundOneEdge	CorrectNetwork	HasHybridEdge
d1	100	0.7	70	87	100
d1	500	0.9	88	96	100
d1	1000	1.1	94	100	100
d1	5000	1.3	90	100	100
d2	100	1.7	65	94	99
d2	500	1.9	79	98	100
d2	1000	2.1	91	100	100
d2	5000	2.3	89	100	100
d3	100	2.7	78	95	100
d3	500	2.9	90	98	100
d3	1000	3.1	91	97	100
d3	5000	3.3	87	99	100
d4	100	3.7	70	96	100
d4	500	3.9	83	99	100
d4	1000	4.1	83	100	100
d4	5000	4.3	78	100	100
d5	100	4.7	84	100	100
d5	500	4.9	84	100	100
d5	1000	5.1	91	100	100
d5	5000	5.3	81	100	100
d6	100	5.7	73	96	100
d6	500	5.9	94	100	100
d6	1000	6.1	93	100	100
d6	5000	6.3	92	100	100
d7	100	6.7	64	99	100
d7	500	6.9	78	100	100
d7	1000	7.1	80	100	100
d7	5000	7.3	69	100	100
d8	100	7.7	75	100	100
d8	500	7.9	91	100	100
d8	1000	8.1	94	100	100
d8	5000	8.3	94	100	100
d9	100	8.7	57	99	100
d9	500	8.9	67	100	100
d9	1000	9.1	64	100	100
d9	5000	9.3	72	100	100
