Diamond	nTrees	xPos	FoundOneEdge	CorrectNetwork	HasHybridEdge
d1	100	0.7	57	21	58
d1	500	0.9	53	22	78
d1	1000	1.1	52	17	81
d1	5000	1.3	49	24	86
d2	100	1.7	50	13	84
d2	500	1.9	66	9	93
d2	1000	2.1	63	7	97
d2	5000	2.3	66	7	97
d3	100	2.7	45	31	69
d3	500	2.9	61	40	85
d3	1000	3.1	57	39	95
d3	5000	3.3	47	36	97
d4	100	3.7	57	12	47
d4	500	3.9	61	15	63
d4	1000	4.1	65	5	52
d4	5000	4.3	47	8	60
d5	100	4.7	54	38	47
d5	500	4.9	56	39	49
d5	1000	5.1	52	36	51
d5	5000	5.3	57	33	46
d6	100	5.7	44	10	84
d6	500	5.9	49	1	97
d6	1000	6.1	47	4	100
d6	5000	6.3	41	2	100
d7	100	6.7	54	17	62
d7	500	6.9	52	18	67
d7	1000	7.1	45	15	62
d7	5000	7.3	32	6	70
d8	100	7.7	50	64	76
d8	500	7.9	59	73	74
d8	1000	8.1	61	70	70
d8	5000	8.3	42	74	74
d9	100	8.7	48	14	26
d9	500	8.9	48	4	17
d9	1000	9.1	43	2	14
d9	5000	9.3	38	0	4
