Diamond	nTrees	Replicate	Net0_lnL	Net1_lnL	Net2_lnL	best_h	RF_dist	HBS	gamma
d1	100	0	-4666.911889430778	-4453.00339512974	-4452.951719662233	1	0	1	0.4364890525821888
d1	100	1	-4504.201273250603	-4303.28370140399	-4293.116673469804	2	0	1	0.3596476474097068
d1	100	2	-4393.964951979567	-4150.433868306364	-4150.3734151542085	1	0	1	0.4403101600622584
d1	100	3	-4682.4261244665195	-4359.530866881747	-4356.584212817282	2	2	1	NA
d1	100	4	-4524.156419744304	-4250.964699643707	-4241.792678752623	2	0	1	0.4609141735790555
d1	100	5	-4643.517458717867	-4350.983972016478	-4350.992275065211	1	0	1	0.4501186949099517
d1	100	6	-4431.513798930174	-4098.769078333169	-4098.718490479816	1	0	1	0.48415983835501053
d1	100	7	-4478.8360992339985	-4248.676983151541	-4248.6146249933545	1	0	1	0.36156391350922457
d1	100	8	-4478.177820430334	-4104.9918475035265	-4104.883976042913	1	0	1	0.48186817373289076
d1	100	9	-4528.877940805171	-4144.801009261979	-4124.146208540541	2	0	1	0.4609978298440889
d1	100	10	-4474.025291279664	-4197.707985516924	-4197.608559334765	1	0	1	0.45138053863877736
d1	100	11	-4542.734582450467	-4236.259360335469	-4230.2260105946325	2	0	1	0.49099755175059867
d1	100	12	-4526.148999806247	-4239.739169671398	-4233.561054403172	2	0	1	0.49337049407807243
d1	100	13	-4562.434211547782	-4267.721268047475	-4257.417664962117	2	2	1	NA
d1	100	14	-4369.288700739474	-4112.846787125859	-4112.885851357258	1	0	1	0.3990406238210965
d1	100	15	-4445.663293917452	-4215.791642342469	-4215.745310805115	1	0	1	0.3391825456416524
d1	100	16	-4521.936046113011	-4150.880854459937	-4124.347407308381	2	0	1	0.4889648736985152
d1	100	17	-4391.871888218665	-4214.878143855178	-4210.259986551253	2	0	1	0.3456500547131008
d1	100	18	-4426.590501649727	-4144.141804177567	-4144.141250466637	1	0	1	0.46825921901043704
d1	100	19	-4327.582253316521	-4046.4162949899433	-4046.3956623020194	1	0	1	0.39398437823368027
d1	100	20	-4594.591146459146	-4360.403664232051	-4360.407716572614	1	0	1	0.44551604829182306
d1	100	21	-4578.702010565809	-4287.048386535167	-4287.037783278623	1	0	1	0.4544808234007217
d1	100	22	-4470.2086149428715	-4255.439567970246	-4251.572504192171	2	2	1	NA
d1	100	23	-4509.830815994355	-4264.260340484792	-4264.106379494655	1	0	1	0.4253360385069628
d1	100	24	-4344.609716319217	-4054.838716067646	-4054.7220932280193	1	0	1	0.494
d1	100	25	-4359.735566440887	-4117.213919866943	-4116.775471259567	1	0	1	0.415098975285465
d1	100	26	-4458.543488288603	-4177.482535869418	-4169.074966365456	2	0	1	0.4235636164323928
d1	100	27	-4446.503652831874	-4025.3395150934602	-4024.4257303146665	1	0	1	0.5
d1	100	28	-4487.16280533203	-4192.5155546498945	-4170.012524116197	2	2	1	NA
d1	100	29	-4431.819598570156	-4171.955101623106	-4171.975251930663	1	0	1	0.3574858428859691
