Diamond	nTrees	Replicate	Net0_lnL	Net1_lnL	Net2_lnL	best_h	RF_dist	HBS	gamma
d1	100	0	-4038.2127667247128	-3708.1556963260928	-3708.157137710547	1	0	1	0.4752184282705413
d1	100	1	-3725.410901538933	-3302.463816028146	-3302.472780835707	1	0	1	0.47690540688264177
d1	100	2	-3861.441397539003	-3452.2092127973865	-3424.4897108266423	2	0	1	0.4719311928753552
d1	100	3	-3955.3974239891754	-3587.5764882809867	-3587.5925513864195	1	0	1	0.44846958227463574
d1	100	4	-3806.4814084606737	-3503.0880237185443	-3492.033902921263	2	0	1	0.43460819588437993
d1	100	5	-3738.199014736885	-3300.930599505796	-3300.9122948658824	1	0	1	0.46224598265833916
d1	100	6	-3960.3089073562396	-3501.9563810610834	-3501.9844222677493	1	0	1	0.494
d1	100	7	-3850.8849734943083	-3587.4974496125064	-3587.487812164449	1	0	1	0.47918665708385977
d1	100	8	-3924.8309100857346	-3498.1510151694947	-3498.159488211764	1	0	1	0.46630118278402916
d1	100	9	-3961.715307314448	-3667.1503184089506	-3666.8274687374565	1	0	1	0.4412167731181862
d1	100	10	-3894.72447743135	-3393.704277191875	-3393.7044585176104	1	0	1	0.4317678284455627
d1	100	11	-3917.573655088997	-3511.4039930158956	-3511.404105211942	1	0	1	0.48808316679859237
d1	100	12	-3963.048898649715	-3639.8061553142743	-3624.829435868352	2	0	1	0.4786528107118432
d1	100	13	-3785.31042193754	-3445.9403164347004	-3445.9090469714174	1	0	1	0.45907924058474303
d1	100	14	-3925.475859961319	-3568.5701344137065	-3568.554588444536	1	0	1	0.46754265893669367
d1	100	15	-3792.0708433520854	-3432.521820443347	-3432.5218724297183	1	0	1	0.457353970344633
d1	100	16	-3823.3599857142917	-3478.7983804144183	-3478.9158751732625	1	0	1	0.49001080287291743
d1	100	17	-3981.138258197775	-3650.8489570505835	-3650.8366724186303	1	0	1	0.45219089867547063
d1	100	18	-3914.1011287888814	-3470.80802839229	-3452.9158248356985	2	0	1	0.49322684319339605
d1	100	19	-3754.2679283659213	-3358.048571205574	-3358.046896050736	1	0	1	0.491658197124815
d1	100	20	-3795.5709441095573	-3423.909756726377	-3417.685691350592	2	0	1	0.42242737290928833
d1	100	21	-3988.658323826016	-3581.6390031813726	-3557.892649652473	2	0	1	0.48507523236281724
d1	100	22	-3826.6016415221393	-3348.2799113087412	-3348.201593069049	1	0	1	0.4783437632163777
d1	100	23	-3852.589466138254	-3519.0628414512266	-3519.026178097585	1	0	1	0.4768060046730291
d1	100	24	-3793.436934936903	-3264.278104850684	-3264.2853479542136	1	0	1	0.4915613243257554
d1	100	25	-3792.613563985141	-3276.2537547491465	-3271.230449976125	2	0	1	0.4694565170293681
d1	100	26	-3788.1053902479466	-3478.8391470783254	-3476.732441002678	2	0	1	0.3703061539941962
d1	100	27	-3759.788939398268	-3404.7905923036537	-3404.7663303448116	1	0	1	0.45718471306934694
d1	100	28	-3909.619230536655	-3458.989572827664	-3458.9859797755257	1	0	1	0.4927752525478502
d1	100	29	-3758.727904871285	-3454.7496597284885	-3448.423672891324	2	0	1	0.3837608137710633
d1	100	30	-3886.328674127652	-3414.863688001403	-3414.871371417483	1	0	1	0.4741709428347581
d1	100	31	-3957.608723389547	-3467.828323829513	-3467.762415709886	1	0	1	0.4611331027744371
d1	100	32	-3857.349119003927	-3368.360372250156	-3368.350333749711	1	0	1	0.4870292376878138
d1	100	33	-3881.28471282803	-3360.118007629476	-3360.164649669385	1	0	1	0.46259100503365097
d1	100	34	-3876.42838007102	-3561.4943304454137	-3561.4936671831874	1	0	1	0.4387691466465211
d1	100	35	-3801.024351564167	-3424.5627423279116	-3424.714646212559	1	0	1	0.39094328234566267
d1	100	36	-3660.1967370742545	-3212.4093657254894	-3212.421679176224	1	0	1	0.483987871247338
d1	100	37	-3834.765141250777	-3514.206398382781	-3494.141774964013	2	0	1	0.48604476570956795
d1	100	38	-3747.281629880867	-3263.7830489879807	-3263.803577491959	1	0	1	0.4705436597403905
d1	100	39	-3629.200683939203	-3214.634153341118	-3214.736911656696	1	0	1	0.38950248823946393
d1	100	40	-3969.358960373021	-3745.907364480756	-3745.9245425212885	1	0	1	0.4313189709083586
d1	100	41	-3891.580199844749	-3558.507766217337	-3558.52230256767	1	0	1	0.4827907963066053
d1	100	42	-3700.6045015659574	-3391.924754904232	-3391.8977140652414	1	0	1	0.3597664109738338
d1	100	43	-3693.768243965033	-3335.2244105759687	-3335.2251607995163	1	0	1	0.38457607579997666
d1	100	44	-3736.405335878289	-3139.2496781770174	-3139.3443173554965	1	0	1	0.4326798439101737
d1	100	45	-3897.6441642282775	-3575.424359510957	-3575.4320747931433	1	0	1	0.4439687404441722
d1	100	46	-3982.6040274834213	-3636.5969979383885	-3635.915488324723	1	0	1	0.4454459628330022
