Diamond	nTrees	Replicate	Net0_lnL	Net1_lnL	Net2_lnL	best_h	RF_dist	HBS	gamma
d1	100	0	-2583.509653005018	-2480.02218590175	-2470.272658883442	2	0	1	0.48662266943804333
d1	100	1	-2399.5927458936785	-2280.831393045272	-2280.837985583338	1	4	1	NA
d1	100	2	-2365.5355547232684	-2284.712222887118	-2283.333262503677	1	4	0	NA
d1	100	3	-2443.2273911367797	-2350.6553577853683	-2343.3182283707974	2	4	1	NA
d1	100	4	-2550.981222975868	-2477.7463074633406	-2472.602754342443	2	0	1	0.3926414243214556
d1	100	5	-2687.9527979330887	-2595.220185352929	-2592.4255128744517	2	4	1	NA
d1	100	6	-2669.477087248087	-2616.0896953147558	-2616.202035221884	1	4	1	NA
d1	100	7	-2587.035665729403	-2513.154365576154	-2478.9809280874247	2	4	1	NA
d1	100	8	-2619.896322464821	-2614.333029690826	-2619.9012277976894	1	8	0	NA
d1	100	9	-2458.2140073848577	-2369.8278023087164	-2369.7635918183314	1	0	1	0.45965899494491325
d1	100	10	-2512.135549697356	-2458.016421446893	-2458.084149962706	1	0	1	0.4276976350095691
d1	100	11	-2637.246098159132	-2592.5497619227044	-2590.978052502523	1	0	1	0.37329967233104433
d1	100	12	-2735.924173089238	-2659.3479662711743	-2657.772191568558	1	4	0	NA
d1	100	13	-2256.843297407907	-2147.4748045793785	-2147.554032200136	1	0	1	0.37628191940745154
d1	100	14	-2564.0351380209677	-2507.645241239608	-2507.7100920476687	1	0	1	0.48164722473454724
d1	100	15	-2679.933984390207	-2593.457612721522	-2588.58718201429	2	4	1	NA
d1	100	16	-2578.2804829909674	-2496.553317791809	-2492.727553059138	2	2	1	NA
d1	100	17	-2483.3991984740564	-2396.050422688359	-2396.791497766975	1	0	1	0.36940644757185426
d1	100	18	-2528.730160733032	-2371.8160074315483	-2371.8260614594205	1	0	1	0.48282486250009704
d1	100	19	-2486.0899389004853	-2442.527504653851	-2442.378569702828	1	0	1	0.31310716431869695
d1	100	20	-2813.365076958781	-2755.1181279173334	-2752.5292207777784	2	6	0	NA
d1	100	21	-2658.1471758530333	-2591.5097292977243	-2591.5075164609502	1	4	1	NA
d1	100	22	-2614.3538439016306	-2456.8064547828176	-2451.5938873501	2	0	1	0.4877624284132609
d1	100	23	-2584.0704233936312	-2522.9523915055456	-2524.291832073493	1	0	1	0.47805652722491954
d1	100	24	-2703.22652604748	-2647.951279804628	-2648.0331108248342	1	0	1	0.3162268601095295
d1	100	25	-2621.745339608829	-2526.9747736222985	-2523.6751555287183	2	4	1	NA
d1	100	26	-2568.572978237036	-2498.0783010893197	-2498.141327259027	1	4	1	NA
d1	100	27	-2561.5699072036987	-2451.5665201088927	-2451.5672313092286	1	4	1	NA
d1	100	28	-2380.6219363779683	-2315.7628980830864	-2312.8510637770414	2	0	1	0.3339232016230457
d1	100	29	-2770.304768719134	-2699.4746127976896	-2693.1490624555095	2	2	1	NA
d1	100	30	-2661.784613730783	-2600.857072892579	-2589.975437313734	2	6	0	NA
d1	100	31	-2846.1108452809494	-2774.289640342134	-2774.1869079706585	1	0	1	0.45611392209825546
d1	100	32	-2615.752268783483	-2503.2816084752644	-2503.3034255132206	1	0	1	0.4516916319373475
d1	100	33	-2683.551451900184	-2620.612242707053	-2619.227460587104	1	4	1	NA
d1	100	34	-2467.5759155147884	-2389.6941252591487	-2389.7833509975067	1	4	1	NA
d1	100	35	-2548.916562515167	-2454.494433557964	-2459.0224352973382	1	0	1	0.45430515161983565
d1	100	36	-2537.1030048654293	-2439.110388758775	-2439.1002615565512	1	4	1	NA
d1	100	37	-2791.6756465405592	-2744.779590741731	-2737.2826301927757	2	2	1	NA
d1	100	38	-2495.859184442593	-2454.7529344874492	-2444.0915319537567	2	6	0	NA
d1	100	39	-2619.984791839106	-2561.051832507765	-2544.6803884599835	2	0	1	0.46300170546139713
d1	100	40	-2632.2395389656576	-2564.009584589088	-2565.501524004492	1	4	1	NA
d1	100	41	-2587.674662150148	-2502.841089565371	-2497.802218853371	2	4	0	NA
d1	100	42	-2530.1883207338497	-2495.890932035114	-2495.867228921059	1	4	1	NA
d1	100	43	-2355.1358536206667	-2279.7417137571497	-2276.7645229738714	2	0	1	0.40120030172185417
d1	100	44	-2404.5993959889806	-2308.208675309437	-2308.2109827614086	1	6	0	NA
d1	100	45	-2663.7595763388563	-2577.8384796489204	-2573.171940485403	2	4	0	NA
d1	100	46	-2608.323303347477	-2572.9037115571978	-2573.6374501993428	1	4	1	NA
d1	100	47	-2732.087997470046	-2640.9015831326356	-2640.853202380647	1	0	1	0.4843282586620462
d1	100	48	-2651.23161294179	-2555.884357777359	-2553.7626987638346	2	4	1	NA
d1	100	49	-2193.79161763304	-2093.9651690182473	-2085.761694315206	2	4	1	NA
d1	100	50	-2698.2832059866446	-2649.187425240648	-2646.8086020372075	2	6	0	NA
d1	100	51	-2600.881876354357	-2510.5540843092404	-2510.543874328224	1	0	1	0.48291974095278967
d1	100	52	-2565.9863518627662	-2539.444643197789	-2545.088654797201	1	0	1	0.43704507291485706
d1	100	53	-2693.7185625349284	-2614.3658232721605	-2605.5293327563554	2	6	0	NA
d1	100	54	-2350.540832902427	-2277.0661679010796	-2270.1037631303498	2	4	1	NA
d1	100	55	-2730.4786906283066	-2659.264112019918	-2659.7895124766833	1	0	1	0.45296246963813314
d1	100	56	-2592.646461982021	-2524.218268427318	-2524.2244819484954	1	4	1	NA
d1	100	57	-2561.985442395633	-2510.276200278732	-2510.5826833970054	1	0	1	0.3510590560311392
d1	100	58	-2561.8789338766696	-2474.1600054995115	-2464.3149781016837	2	4	1	NA
d1	100	59	-2604.2740953599478	-2501.901542764197	-2502.079787456226	1	0	1	0.4073959152133563
d1	100	60	-2439.4699177056646	-2385.736232853563	-2379.0931222467075	2	4	1	NA
d1	100	61	-2611.4168189929674	-2505.9078969419124	-2505.5401215231695	1	0	1	0.48436141571529384
d1	100	62	-2531.0215697049093	-2500.935650948092	-2496.2297384135495	2	0	1	0.3192348752131719
d1	100	63	-2483.829328310289	-2414.655527197211	-2406.566723093382	2	4	1	NA
d1	100	64	-2683.0309673114325	-2617.836781617691	-2617.8944732742398	1	0	1	0.3781536995808491
d1	100	65	-2762.7251298501205	-2683.6156367983735	-2645.707899580571	2	4	1	NA
d1	100	66	-2688.15746076927	-2619.9955899919487	-2617.7274986375573	2	6	0	NA
d1	100	67	-2706.0829584573266	-2650.1440614032267	-2648.471797065747	1	0	1	0.4596222686735917
d1	100	68	-2592.225554036655	-2541.4842118034744	-2541.6182251669406	1	4	1	NA
d1	100	69	-2496.368777794218	-2451.1114727158624	-2451.182109454156	1	4	0	NA
d1	100	70	-2573.7697492736847	-2526.669949951596	-2527.1888214468827	1	0	1	0.3867603647843302
d1	100	71	-2556.1806158912514	-2461.25064444463	-2461.243342325535	1	0	1	0.47012196891618147
d1	100	72	-2501.0578113686315	-2406.7738585477587	-2406.792321691785	1	0	1	0.47562189468471283
d1	100	73	-2768.2677640174315	-2650.1930199508124	-2646.1922696860556	2	0	1	0.4542476208662278
d1	100	74	-2720.6382553443136	-2673.239066283512	-2673.113637990901	1	4	1	NA
d1	100	75	-2446.700889541636	-2346.075232650072	-2346.2763726824346	1	0	1	0.36122016351932906
d1	100	76	-2382.8179025051995	-2299.7004700281304	-2299.671873484269	1	4	1	NA
d1	100	77	-2448.147171048384	-2373.296501068108	-2371.426365668114	1	6	0	NA
d1	100	78	-2512.6413213838546	-2385.0319652915227	-2379.1669354160954	2	2	1	NA
d1	100	79	-2734.110428483627	-2681.3399683446723	-2681.234128968008	1	4	1	NA
d1	100	80	-2234.7470159790223	-2182.6980187627914	-2182.6953023350507	1	0	1	0.3264107950891116
d1	100	81	-2553.0238910476914	-2467.1303637372575	-2464.4157958794663	2	2	1	NA
d1	100	82	-2535.489811193558	-2483.592344992735	-2486.5672538341355	1	4	1	NA
d1	100	83	-2776.0892519364106	-2682.430358134581	-2663.9531244594186	2	6	0	NA
d1	100	84	-2703.384759222377	-2608.9815449439825	-2606.479927212024	2	0	1	0.5
