Diamond	nTrees	Replicate	Net0_lnL	Net1_lnL	Net2_lnL	best_h	RF_dist	HBS	gamma
d1	100	0	-1761.1221447516687	-1614.7756090012044	-1614.836629697654	1	0	1	0.47617832288498674
d1	100	1	-1734.9779275702329	-1614.1282565850042	-1603.5004792772859	2	4	1	NA
d1	100	2	-1544.645121607343	-1408.3512736360226	-1408.386974192058	1	0	1	0.4386582382378053
d1	100	3	-1780.0890551835357	-1672.8075311276148	-1676.283485323541	1	0	1	0.4137940080833027
d1	100	4	-1678.3066154859775	-1595.8733235868888	-1592.7687199832199	2	0	1	0.4588944997515224
d1	100	5	-1938.132284029653	-1827.2184184966386	-1820.0544400819224	2	0	1	0.4897145706711097
d1	100	6	-1838.1422867728363	-1763.5987771667615	-1760.2793083100282	2	6	0	NA
d1	100	7	-1750.1005802817294	-1614.4250303405215	-1616.5123186707324	1	0	1	0.5
d1	100	8	-1761.6959573115412	-1761.6961691402425	-1761.6963080572932	0	9	0	NA
d1	100	9	-1560.7656135452805	-1453.3469838828448	-1453.3319333680045	1	0	1	0.3499900610636565
d1	100	10	-1731.905091789535	-1626.6727372691455	-1626.6856631286355	1	0	1	0.4409757000489464
d1	100	11	-1733.5201460630976	-1657.0047950811136	-1657.2847455688227	1	0	1	0.48056251244547815
d1	100	12	-1954.3747655479954	-1852.0799489313806	-1852.2328333212024	1	0	1	0.425330639294898
d1	100	13	-1796.042602715986	-1693.469292333121	-1693.5171937554858	1	0	1	0.41770933123984105
d1	100	14	-1865.6339831588725	-1760.3219565174347	-1760.5034301197968	1	0	1	0.40202318754203104
d1	100	15	-1916.6778839099825	-1795.6182632276325	-1795.6090799040405	1	0	1	0.5
d1	100	16	-1907.2325892081892	-1822.2961926428625	-1822.8314932456274	1	0	1	0.4151136733620589
d1	100	17	-1846.0963394232995	-1756.2561776163307	-1741.8975669952538	2	4	1	NA
d1	100	18	-1845.9766034455167	-1682.737185751794	-1682.7329415388567	1	0	1	0.48198683340217907
d1	100	19	-1895.968313930841	-1816.113630777283	-1816.1106108194012	1	0	1	0.4151324062906769
d1	100	20	-1940.934076225925	-1881.0695637263798	-1871.937797295325	2	4	1	NA
d1	100	21	-1834.2280550989299	-1740.9865019865883	-1736.268397472158	2	4	1	NA
d1	100	22	-1937.072998668811	-1747.5596133758927	-1746.490723868485	1	0	1	0.4242551200715402
d1	100	23	-1937.0893705703022	-1826.3137551537945	-1826.334859209662	1	0	1	0.39587672746455005
d1	100	24	-1910.0695017038095	-1794.145177734933	-1794.1531230119435	1	0	1	0.4933782972675182
d1	100	25	-1747.4641357543696	-1630.487537176412	-1629.7195021177565	1	0	1	0.48336637493278
d1	100	26	-1992.287100025285	-1902.0229276118378	-1891.5587537933545	2	4	1	NA
d1	100	27	-1887.4500086377748	-1711.4151204071811	-1711.4027698740624	1	0	1	0.4476459242761429
d1	100	28	-1571.5487078872675	-1474.0216381200369	-1473.9238840592911	1	0	1	0.43540953564086715
d1	100	29	-2154.8850863378434	-2046.0135324265455	-2033.5209017592588	2	4	0	NA
d1	100	30	-1832.3774569695256	-1722.471759578249	-1722.4940012254438	1	0	1	0.4068859249870982
d1	100	31	-2152.3606700315904	-2053.3764603274362	-2053.3710342453114	1	0	1	0.45023531153423313
d1	100	32	-1760.892846535099	-1635.265977208978	-1635.2681699552575	1	0	1	0.4619111538348135
