Diamond	nTrees	Replicate	Net0_lnL	Net1_lnL	Net2_lnL	best_h	RF_dist	HBS	gamma
d1	100	0	177.81198897571227	34.1120397087861	34.112039707512345	1	0	1	0.4206194558639779
d1	100	1	202.1794530326498	55.82353823571306	55.823441777079836	1	0	1	0.33863152383924244
d1	100	2	206.14340429238015	43.134591020209214	43.13459101707872	1	0	1	0.32157203804718004
d1	100	3	187.01842493556262	50.90624722991157	50.90624721876408	1	0	1	0.3110867799886794
d1	100	4	264.61450884810836	22.263163659511445	22.263118955280753	1	4	0	NA
d1	100	5	142.5574181922942	8.95050651317726	8.950438960508741	1	0	1	0.42689341563416977
d1	100	6	341.27460528648805	19.59356504136255	19.5935648665777	1	0	1	0.4946436291816376
d1	100	7	185.15957942304485	20.02620344262381	20.02615285696423	1	0	1	0.4700079370755506
d1	100	8	324.5079516547565	62.09573957558268	62.09573957553758	1	0	1	0.47782141766539166
d1	100	9	174.78265374136953	23.337594195511596	23.337593804923753	1	0	1	0.37796334550466365
d1	100	10	319.7744478995968	56.82114278735418	56.82114278733567	1	0	1	0.46273733880493884
d1	100	11	352.76779117892494	33.529886302379154	33.529886246539675	1	0	1	0.45698998064561236
d1	100	12	337.03603199461725	42.12412755979345	42.12412755979342	1	0	1	0.48097888869298216
d1	100	13	220.71106329886433	18.03500516702097	18.034984623510436	1	0	1	0.3744620106011514
d1	100	14	171.98352545933398	10.789092710607383	10.789088621268581	1	0	1	0.4889877721876636
d1	100	15	208.9627816710973	27.474558759275016	27.474557162918195	1	0	1	0.38632995513364987
d1	100	16	244.75729948176468	53.63110795582246	53.63105269205862	1	0	1	0.42512880447809054
d1	100	17	142.8485766675611	16.75813189280066	16.758131892678687	1	2	1	NA
d1	100	18	227.38306792727602	45.92843200355442	45.92843129723181	1	0	1	0.3357754986085554
d1	100	19	284.85465725986535	41.9961976907444	41.99619769073182	1	0	1	0.43908444237849936
d1	100	20	311.2076793562856	42.81139726000245	42.81135992928971	1	0	1	0.3877718724585008
d1	100	21	292.57365534770884	34.94948153604458	34.9494034979196	1	0	1	0.3856102245524345
d1	100	22	173.5388644423502	17.74372831739503	17.743562453544996	1	0	1	0.42142680853059444
d1	100	23	283.6659484933849	34.439221029105084	34.4392210291008	1	0	1	0.4542222956865444
d1	100	24	343.9244404441638	33.63541096254555	33.63532956141401	1	0	1	0.4302768857089682
d1	100	25	342.288710323184	43.621564369083046	43.62154053020166	1	0	1	0.4487005405548939
d1	100	26	138.12870931582654	47.481094953609855	47.481094937210365	1	0	1	0.2645598643661599
d1	100	27	258.2906518780758	42.922385260891936	42.92234170819525	1	0	1	0.489357145582331
d1	100	28	202.4432627230239	16.913362856235146	16.913293165252885	1	0	1	0.362336330000016
d1	100	29	199.99626394860098	33.49989261031389	33.49969736511117	1	0	1	0.33587719379127234
d1	100	30	225.49965300341978	25.041849317121084	25.04184867472005	1	0	1	0.4486819834519499
d1	100	31	179.3701078648336	44.133993215028426	44.13398649640154	1	0	1	0.4286238637136055
d1	100	32	236.17796420850115	43.43318992527248	43.43318992522856	1	0	1	0.4960227005305289
d1	100	33	247.03539614783853	62.535118703506576	62.53511870349262	1	0	1	0.42796894400304547
d1	100	34	153.70125191678696	22.35421168947146	22.354120334428057	1	0	1	0.3153103840091461
d1	100	35	194.2400291433587	40.89698452883886	40.89647344578518	1	0	1	0.4681402908898721
d1	100	36	243.6309765367225	14.271257797284669	14.271257794790145	1	0	1	0.4532847460639032
d1	100	37	173.75707368837436	13.897843174831117	13.896895537186655	1	0	1	0.4275300021663342
d1	100	38	166.24995335696502	30.94177614114583	30.94177613569337	1	0	1	0.31308760505338445
d1	100	39	221.0695318264202	45.183846368263744	45.18384631855378	1	0	1	0.31337975965630976
d1	100	40	165.76994070347124	22.25111707162939	22.24965729181658	1	0	1	0.40628156970764207
d1	100	41	183.23708306686532	20.46122004384025	20.460850019710495	1	0	1	0.4738360502311054
d1	100	42	126.19716823480175	21.09385470053512	21.093088339494322	1	0	1	0.4059711865406306
d1	100	43	194.38029745530812	51.97892157290293	51.977609103205204	1	6	0	NA
d1	100	44	254.71125781307032	24.845995707982546	24.84599252853157	1	0	1	0.4943723391829685
d1	100	45	180.63149849138134	39.27019637251644	39.27019637249976	1	0	1	0.3824977546508976
d1	100	46	198.61309429021753	31.294178840930684	31.29417884074999	1	0	1	0.4350004288672207
d1	100	47	169.4001361712445	37.655874492734235	37.65587166203526	1	2	1	NA
d1	100	48	280.10577981924433	36.291672721193606	36.2916725803166	1	0	1	0.38875034333917363
d1	100	49	255.62413797399833	41.50594664571189	41.50589617479008	1	0	1	0.46914868895634854
d1	100	50	212.63905659162674	31.568123932749764	31.56805108194818	1	0	1	0.3776090540996551
d1	100	51	192.1776006424405	23.430337433351763	23.430176443486125	1	0	1	0.4086787803070858
d1	100	52	243.62768363910928	27.012337179445648	27.007813503231404	1	0	1	0.3857267159225523
d1	100	53	234.4147261678333	22.659868512624314	22.65986806570395	1	0	1	0.48763588725913753
d1	100	54	185.54366625017394	20.23307619417512	20.23307069626081	1	0	1	0.4598809217381286
d1	100	55	390.29288241447887	31.500375056981333	31.50037505685629	1	0	1	0.4882649428033739
d1	100	56	308.15477580533377	25.312563161958664	25.312563161863814	1	0	1	0.4662323451957726
d1	100	57	230.7870162439365	17.5095439103695	17.509543910367807	1	0	1	0.4700595303698243
d1	100	58	321.6671651198716	64.16057591965897	64.1605319731982	1	0	1	0.47346636463598263
d1	100	59	288.93855370415184	46.691786308345115	46.691521090369065	1	0	1	0.3815930979375885
d1	100	60	319.52658491100067	22.123407920968933	22.12340791993302	1	0	1	0.41992321079235717
d1	100	61	384.50097332358723	65.94513435016312	65.94513435013782	1	0	1	0.39724081149509505
d1	100	62	198.44349901292935	13.804526247667386	13.804512941202312	1	0	1	0.3773777665529521
d1	100	63	200.09065062342927	27.99070427061374	27.990704200503927	1	0	1	0.46829904564113545
d1	100	64	307.42833094212295	85.25463121830728	85.25463121808082	1	0	1	0.45615340539467103
d1	100	65	196.85747922908152	24.45332912613163	24.453326587923907	1	0	1	0.4045948154301007
d1	100	66	222.96513664184624	68.97046378480754	68.970463729632	1	0	1	0.26830851297113106
d1	100	67	177.6790875934316	11.167337655132794	11.16733690490088	1	0	1	0.4365292735002187
d1	100	68	282.25915865620726	22.407651902094777	22.40765190207684	1	0	1	0.4245465543867177
d1	100	69	186.93251990496938	36.400305324017225	36.40027520428839	1	0	1	0.49917938939891116
d1	100	70	298.7344177860193	36.058001508744425	36.05800150818245	1	0	1	0.4303367928685439
d1	100	71	275.82102915614166	25.6473485561686	25.64734855615011	1	0	1	0.4212321097248163
d1	100	72	207.67490429797746	13.050274987053113	13.0502699565363	1	0	1	0.34604204893451523
d1	100	73	232.14689481049473	29.175913564722357	29.175809608868384	1	0	1	0.3760074179343853
d1	100	74	138.44439857116632	33.96818264288807	33.968182340398194	1	0	1	0.23962808708377742
d1	100	75	343.13656096718523	41.855095670734386	41.85509567066822	1	0	1	0.4789894676707639
d1	100	76	233.50183502342716	19.634578132417552	19.634578132351105	1	0	1	0.37791687320331163
d1	100	77	201.800989182649	41.151793353133414	41.15167746274308	1	0	1	0.4295207240413865
d1	100	78	195.86536809809783	49.249506739503396	49.24950397690117	1	0	1	0.41337853262815116
d1	100	79	290.5748178536752	24.387839680324504	24.387839360539516	1	0	1	0.45998169745742334
d1	100	80	163.6215157549765	36.146071820001765	36.14607181818468	1	0	1	0.35193287573470483
d1	100	81	248.3313820316821	31.86216685819181	31.861927921381124	1	0	1	0.40068299651394196
d1	100	82	312.88969935999006	17.836586307654354	17.83658630566223	1	0	1	0.4220316300110322
d1	100	83	300.8407076898947	35.85510062529151	35.85489815500572	1	0	1	0.4307868772652781
d1	100	84	257.82850560414994	64.23315500624629	64.2331550061999	1	2	1	NA
d1	100	85	271.2494271804369	43.42022548889702	43.420204834932214	1	0	1	0.44109207527123434
d1	100	86	291.3595917345257	21.836584546010513	21.836584326931128	1	0	1	0.4598455627931155
d1	100	87	185.91806155790692	15.597632781352159	15.597566775698605	1	0	1	0.45324500545041846
d1	100	88	207.676699040563	59.87414352597415	59.87414352597361	1	0	1	0.477231917354434
d1	100	89	237.48116029410866	47.097760898537345	47.097495459650595	1	0	1	0.4829730509897816
d1	100	90	179.18861281066305	47.587016825520834	47.58699077854388	1	0	1	0.46655660640828334
d1	100	91	183.60730164146145	20.09301944392031	20.09298776214657	1	0	1	0.41313578636811676
d1	100	92	138.00265665106326	24.388410179904287	24.387815498209534	1	0	1	0.4054990933706645
d1	100	93	256.6963019169245	33.21961005909553	33.21961005902458	1	0	1	0.4497015949796508
d1	100	94	244.65282809147504	26.08624272666162	26.08624272665501	1	0	1	0.4820084601988667
d1	100	95	241.88103962704346	21.102663028902246	21.10266299728795	1	0	1	0.4737803152908225
d1	100	96	245.52648823020124	18.6450652901961	18.644650554927846	1	0	1	0.47503570416745333
d1	100	97	252.0316178238089	38.83164153746254	38.82923364338765	1	0	1	0.40750378875830956
d1	100	98	184.61260134901661	31.165231307989202	31.164338644144756	1	0	1	0.451728472547799
d1	100	99	165.62492850104906	35.43884664396236	35.43884664394644	1	0	1	0.41204269066905563
d1	500	0	180.49087210243079	6.647539636937524	6.647539636520155	1	0	1	0.49571596139679336
d1	500	1	240.5232346176634	5.152971281577554	5.1528987777479	1	0	1	0.49354427636060255
d1	500	2	188.3397268873734	9.801257479911024	9.801257479891643	1	0	1	0.4591563519001074
d1	500	3	208.24318131206502	7.064917222164032	7.064917222065368	1	0	1	0.47693292586194436
d1	500	4	211.92451303301866	8.01266505476516	8.012627816378226	1	0	1	0.46238379003420466
d1	500	5	173.05433688454917	12.795403796073526	12.795403796064775	1	0	1	0.41651766664845685
d1	500	6	167.2237376133222	13.26586192308829	13.265849286414747	1	0	1	0.40959624284130114
d1	500	7	234.608768034169	4.834647318666898	4.834647161596069	1	0	1	0.45169332501535
d1	500	8	196.72299137586134	7.2685375492529225	7.265900316286036	1	0	1	0.4427160824297245
d1	500	9	193.2737289083181	5.295195459397585	5.295195459396317	1	0	1	0.4233309133374884
d1	500	10	206.10628346581697	5.852852785069432	5.85285278506093	1	0	1	0.49135977408474374
d1	500	11	175.30112193117276	6.798974467635265	6.7989744675985975	1	0	1	0.38520016564008963
d1	500	12	170.58187664347514	6.602350658935471	6.602350618721821	1	0	1	0.4286183415294543
d1	500	13	186.26638526811874	4.449518005566643	4.449518005539985	1	0	1	0.4600583758842634
d1	500	14	163.1338858149257	4.674874746372795	4.674558003432904	1	0	1	0.38643560994543635
d1	500	15	213.17003547457475	6.906431840235941	6.906190727178505	1	0	1	0.46293274645306903
d1	500	16	175.14323165530354	5.107717845208727	5.107701863181556	1	0	1	0.49463374059870374
d1	500	17	158.5021700832185	7.19204735387834	7.192047341010074	1	0	1	0.4376245988881364
d1	500	18	218.14995516938578	4.767902745625154	4.767140625631062	1	0	1	0.4451447102020403
d1	500	19	194.19202883601395	11.516060725379122	11.515884854179692	1	0	1	0.49715333502608744
d1	500	20	195.84203713967594	6.759103788435673	6.759103788416091	1	0	1	0.49343046308596517
d1	500	21	194.75548905937214	5.346814445163726	5.346814444735762	1	0	1	0.48754522503273817
d1	500	22	160.51141902753963	4.919926018883943	4.9199259403975715	1	0	1	0.43064420569249784
