Diamond	nTrees	Replicate	Net0_lnL	Net1_lnL	Net2_lnL	best_h	RF_dist	HBS	gamma
d1	100	0	-4570.901892812729	-4406.252018217588	-4395.778066115164	2	0	1	0.494
d1	100	1	-4368.427124865787	-4136.831403835971	-4133.179201279254	2	0	1	0.4938158002590027
d1	100	2	-4472.403737354048	-4292.893942153253	-4292.881552617199	1	0	1	0.4693389527590535
d1	100	3	-4459.488897270965	-4242.368358134636	-4242.373914642982	1	0	1	0.4526452071618748
d1	100	4	-4382.506033533166	-4159.8652991564895	-4159.877624370465	1	0	1	0.47713442322364974
d1	100	5	-4486.698276344506	-4354.828416958365	-4354.839004474548	1	0	1	0.46550713410901595
d1	100	6	-4438.577296255702	-4156.198904088052	-4156.236102302668	1	0	1	0.5
d1	100	7	-4354.876149538721	-4143.798499412826	-4143.807920460889	1	0	1	0.45742094573299596
d1	100	8	-4475.344071147317	-4287.674247002262	-4281.648037238495	2	0	1	0.4632107627716699
d1	100	9	-4472.4719010596145	-4244.761637488916	-4244.066981131019	1	0	1	0.47857897403452065
d1	100	10	-4474.587322631461	-4206.052910709659	-4182.075227023459	2	0	1	0.49247940553053227
d1	100	11	-4472.3506452948695	-4253.190559508532	-4244.872334411891	2	2	1	NA
d1	100	12	-4480.285626852523	-4224.517553303944	-4224.605683434186	1	0	1	0.4920053630292669
d1	100	13	-4378.150427980413	-4219.970885556781	-4211.862302122009	2	2	1	NA
d1	100	14	-4541.367220993443	-4395.46183540763	-4395.466015262873	1	0	1	0.4170196149820571
d1	100	15	-4418.699615066948	-4215.72932981394	-4215.759406981876	1	0	1	0.47338015410924106
d1	100	16	-4230.156786888733	-3974.776416639376	-3974.783411951672	1	0	1	0.4502672289850807
d1	100	17	-4534.142305021745	-4421.902526535076	-4408.14993459886	2	0	1	0.411182082599243
d1	100	18	-4475.64858629688	-4270.338770956368	-4261.0638714815495	2	2	1	NA
d1	100	19	-4408.836580274302	-4154.599679053241	-4154.579170406722	1	0	1	0.4707044684964794
d1	100	20	-4269.141020703657	-4018.4089646715584	-4018.400473509928	1	0	1	0.4396911660420626
d1	100	21	-4434.562022484793	-4171.748781622044	-4171.666856618364	1	0	1	0.4911787215756761
d1	100	22	-4320.547187744125	-4063.49476425213	-4063.429405217388	1	0	1	0.494
d1	100	23	-4389.96504536085	-4146.605979593827	-4144.0285930970485	2	2	1	NA
d1	100	24	-4372.015164285071	-4140.848535006041	-4140.863847249609	1	0	1	0.477964346386216
d1	100	25	-4544.677129384582	-4379.740609857776	-4379.730124059234	1	0	1	0.494
d1	100	26	-4145.471124584211	-3983.876557298395	-3983.9807128245016	1	0	1	0.3038740041966965
d1	100	27	-4302.238608830581	-4111.919791150052	-4103.002925316181	2	0	1	0.48536761340584095
d1	100	28	-4451.272660701624	-4272.544241765001	-4266.892323506399	2	2	1	NA
d1	100	29	-4177.581111131969	-3850.7436819647523	-3830.092376303902	2	0	1	0.48683339026238714
d1	100	30	-4372.408890045676	-4070.8158393006292	-4070.823108941965	1	0	1	0.4405438852226885
d1	100	31	-4530.758424746952	-4300.619598366436	-4300.659514787997	1	0	1	0.46555425270527867
d1	100	32	-4499.96740840483	-4270.648181385842	-4270.628686289648	1	0	1	0.47214345794717616
d1	100	33	-4530.499276323925	-4294.496140173793	-4294.46625899935	1	0	1	0.4498878000390498
d1	100	34	-4362.715439986384	-4151.039155134026	-4151.041589843888	1	0	1	0.45694620954326404
