Diamond	nTrees	Replicate	Net0_lnL	Net1_lnL	Net2_lnL	best_h	RF_dist	HBS	gamma
d1	100	0	-3759.7965218057398	-3291.7311278040697	-3291.706739097347	1	0	1	0.48433734811204693
d1	100	1	-3455.38749633444	-2882.396228595841	-2882.373218257295	1	0	1	0.46754766313263474
d1	100	2	-3538.5143975835745	-2986.0358379374525	-2986.0380903703362	1	0	1	0.4730047594331977
d1	100	3	-3563.7470002389373	-2973.9694319778123	-2973.949507866257	1	0	1	0.47105863069467624
d1	100	4	-3534.4860190002028	-3101.893427032936	-3101.8937903751466	1	0	1	0.45553754517067013
d1	100	5	-3521.796815559718	-2976.509591988806	-2976.5057774243082	1	0	1	0.4638466321634027
d1	100	6	-3599.1437559146875	-2914.615397081789	-2914.6032140754983	1	0	1	0.47761779782069824
d1	100	7	-3454.8031337959524	-3013.329387740723	-3013.3272738445658	1	0	1	0.4707011283681022
d1	100	8	-3595.302321986677	-2945.2410899959505	-2922.6470612643443	2	0	1	0.5
d1	100	9	-3621.410127305072	-3061.3763545238758	-3061.3847827487357	1	0	1	0.4646933939710298
d1	100	10	-3645.6739631871897	-2972.3309190901437	-2972.3309982146643	1	0	1	0.4687949413249114
d1	100	11	-3604.055217902563	-2992.1344430321465	-2992.139684548511	1	0	1	0.4793219275871494
d1	100	12	-3620.200651668286	-3091.804813438025	-3081.780033801124	2	0	1	0.4808360451354875
d1	100	13	-3553.1124686483327	-3105.004744515359	-3104.982661055375	1	0	1	0.4747700088495196
d1	100	14	-3635.2695760935926	-3037.433526401173	-3037.433444944614	1	0	1	0.47005060816125827
d1	100	15	-3466.9093293182736	-2954.8933430979655	-2954.8843857440224	1	0	1	0.44191231041658774
d1	100	16	-3510.5210697206244	-3026.9065595224433	-3026.9187852309074	1	0	1	0.4879022374988127
d1	100	17	-3737.886447093344	-3341.5745668790896	-3341.5385435593835	1	0	1	0.45398298021472416
d1	100	18	-3623.9412274640904	-3033.816971010096	-3033.8161958150704	1	0	1	0.4652122273924947
d1	100	19	-3478.8406069762377	-2908.9746098236815	-2908.9878995485856	1	0	1	0.48100969460672566
d1	100	20	-3528.321939780416	-2971.9793791333477	-2958.9333806519253	2	0	1	0.41745541408514897
d1	100	21	-3673.088597887235	-3118.9690604908615	-3118.97045462054	1	0	1	0.4509631587837155
d1	100	22	-3545.8513699118785	-2947.7995044207723	-2947.8208550574427	1	0	1	0.47367950108137424
d1	100	23	-3506.009368316373	-2958.653435446705	-2958.649366724608	1	0	1	0.4773169489708499
d1	100	24	-3515.2192263194775	-2890.976507724729	-2890.972616991266	1	0	1	0.48898775762141766
d1	100	25	-3558.821065071998	-2948.013610106119	-2948.0094258807812	1	0	1	0.46804566459693375
d1	100	26	-3357.468042886252	-2915.8082591860834	-2915.805940962885	1	0	1	0.34629353182507233
d1	100	27	-3489.4950139593416	-3002.21032572963	-3002.2091307415644	1	0	1	0.46498674341592267
d1	100	28	-3629.223071582941	-3103.9146538716045	-3102.6251577048624	1	0	1	0.47776096895297626
d1	100	29	-3419.6801010216923	-2992.399332811954	-2973.023063819534	2	0	1	0.395754550451761
d1	100	30	-3610.584555487063	-3002.657559288564	-2998.0256767713367	2	0	1	0.46162318378680967
d1	100	31	-3699.6085631705114	-3074.24217703975	-3074.243748502645	1	0	1	0.4648591536934783
d1	100	32	-3630.2036003390285	-3026.0376047954414	-3026.0110220848806	1	0	1	0.494
d1	100	33	-3640.4617529975126	-3012.680814290239	-3012.1429789619633	1	0	1	0.47794900747860775
d1	100	34	-3548.068033929326	-3105.9071189459783	-3104.9938739460085	1	0	1	0.4449219290272962
d1	100	35	-3478.6284459953413	-2971.699837437678	-2971.6985328488227	1	0	1	0.3842312154764248
d1	100	36	-3428.4922699280028	-2827.536841118736	-2827.5300080779507	1	0	1	0.5
d1	100	37	-3615.6402382684096	-3181.976175920747	-3181.9798037521305	1	0	1	0.49389194748524995
d1	100	38	-3464.5178236347197	-2883.481982847839	-2883.4511951068457	1	0	1	0.4734876578457778
d1	100	39	-3310.8071266148895	-2741.344363874869	-2741.345356313625	1	0	1	0.41139939788399443
d1	100	40	-3620.9085326546433	-3166.977626647819	-3166.9770026674837	1	0	1	0.4478314440407554
d1	100	41	-3475.780759920751	-2868.951056009423	-2868.946618572181	1	0	1	0.494
d1	100	42	-3385.6520425910094	-2856.303755866622	-2856.2981254133383	1	0	1	0.3727506703195106
d1	100	43	-3396.4248231349447	-2829.2302173665685	-2829.247638180542	1	0	1	0.39247663409387434
d1	100	44	-3503.833172720313	-2825.353548820048	-2825.3412094905507	1	0	1	0.46030722184318995
d1	100	45	-3581.2006060278745	-3050.1071226161666	-3050.1443186473543	1	0	1	0.45585915672074206
d1	100	46	-3629.79895985272	-3123.4830181577418	-3123.4880345223755	1	0	1	0.41608264666257533
d1	100	47	-3576.497584794095	-3177.0994616398066	-3177.103681175597	1	0	1	0.43823895122987944
d1	100	48	-3592.3109249805343	-2991.819068884688	-2974.888110610428	2	0	1	0.42694909796193237
d1	100	49	-3761.046642217792	-3266.014042965595	-3266.0078550665967	1	0	1	0.47406190477109167
d1	100	50	-3650.1992340258307	-3189.210453952973	-3189.1598775880852	1	0	1	0.46856285183632124
d1	100	51	-3745.922788746337	-3347.5302824824694	-3347.53188468286	1	0	1	0.5
d1	100	52	-3614.5191649576723	-3052.197965823581	-3052.207934088871	1	0	1	0.4004123346644166
d1	100	53	-3442.8767988549125	-2817.9493155419773	-2809.311094771094	2	0	1	0.48056323771371984
d1	100	54	-3659.382332549361	-3161.456894056417	-3161.526940770212	1	0	1	0.4050226591972426
d1	100	55	-3622.699713043399	-2947.5378635438137	-2940.888661914484	2	0	1	0.4931218428947505
d1	100	56	-3667.8564879890923	-2974.699734120409	-2974.726407160687	1	0	1	0.473204415596549
d1	100	57	-3515.328498269037	-2900.0459981852273	-2896.897335027905	2	0	1	0.44406245396203925
d1	100	58	-3556.7097908636297	-2973.707766084901	-2973.70871963263	1	0	1	0.4695422025482431
d1	100	59	-3694.9308380079024	-3073.9606793745593	-3073.963144391285	1	0	1	0.4621792735389837
d1	100	60	-3566.795518629169	-3134.1384075051847	-3134.1366619438504	1	0	1	0.46224402720305935
d1	100	61	-3623.3120882272488	-3128.3174741676867	-3128.3148419678173	1	0	1	0.4211481105602306
d1	100	62	-3551.026785467704	-3204.070941710396	-3204.072595861316	1	0	1	0.4744104463699512
d1	100	63	-3771.8955774917436	-3195.3853431976845	-3195.387979820845	1	0	1	0.4881580391059821
d1	100	64	-3584.709079782008	-3051.325960287582	-3005.57160052888	2	0	1	0.494
d1	100	65	-3461.3985515735853	-2878.0130039208084	-2878.1793404583727	1	0	1	0.4895272528736808
d1	100	66	-3459.730932545292	-2913.777564794373	-2913.7710910724913	1	0	1	0.42668598774933353
d1	100	67	-3478.14697078927	-2989.1780835745517	-2989.182610014969	1	0	1	0.48802990550660075
d1	100	68	-3493.965427231127	-2820.5551618038967	-2820.542059380389	1	0	1	0.48640454124312893
d1	100	69	-3508.9614491886014	-3003.8162368101707	-3003.8478762388754	1	0	1	0.4203297198704731
d1	100	70	-3614.9811093691633	-2976.3031662482	-2976.313667818616	1	0	1	0.48544538476910043
d1	100	71	-3438.7926393267503	-2710.875262632771	-2710.891048798138	1	0	1	0.41472428216841334
d1	100	72	-3602.4274958740425	-3072.643280806316	-3072.6448154278546	1	0	1	0.39905072775795425
d1	100	73	-3552.5962823375116	-2897.343416474204	-2897.339460397446	1	0	1	0.45726487183407705
d1	100	74	-3639.9793140049346	-3194.7382502494083	-3194.739766015103	1	0	1	0.35159429769741724
d1	100	75	-3564.042142728635	-2877.920942245373	-2877.9540006200564	1	0	1	0.4933372165420772
d1	100	76	-3729.785247024479	-3166.063963570213	-3166.022959689223	1	0	1	0.4785712225995807
d1	100	77	-3419.975149972925	-3035.2902510841145	-3035.289016740373	1	0	1	0.4366141717836777
d1	100	78	-3646.4132543971987	-3047.3411952843235	-3047.341160291692	1	0	1	0.47724708075500477
d1	100	79	-3661.150391215098	-3148.7059685168383	-3148.787246789918	1	0	1	0.4544808478889386
d1	100	80	-3544.438514212909	-3153.536777457781	-3152.0651162293066	1	0	1	0.4395198576350342
d1	100	81	-3438.07136796476	-2901.630903037759	-2901.6313753018753	1	0	1	0.4686813673307261
d1	100	82	-3604.8311816218925	-2991.1587094331007	-2991.15635566264	1	0	1	0.4916273783370571
d1	100	83	-3599.850923028487	-3090.32949217271	-3090.2874627631113	1	0	1	0.49229183870712945
d1	100	84	-3795.418952002049	-3309.504404747711	-3309.5110437513217	1	0	1	0.4479760008550838
d1	100	85	-3722.9171607300473	-3175.276499765778	-3175.3701488699776	1	0	1	0.48068284784548343
d1	100	86	-3535.836359661813	-3025.9050545879963	-3026.0954044668088	1	0	1	0.4742897500657419
d1	100	87	-3448.5718469334097	-2849.627856736541	-2849.601682023278	1	0	1	0.4416518715746393
d1	100	88	-3708.886348034146	-3136.8867065574677	-3136.872134412265	1	0	1	0.44482849506977507
d1	100	89	-3593.284848419552	-3100.5538408082407	-3100.528250143552	1	0	1	0.43842582856148815
d1	100	90	-3717.9288377896887	-3182.1612086656314	-3182.1430261381065	1	0	1	0.4764857717981933
d1	100	91	-3413.6449898942515	-2873.620594390836	-2873.6241872931005	1	0	1	0.4939997044668645
d1	100	92	-3806.8029675030903	-3352.17541097401	-3352.215340135747	1	0	1	0.405986424340281
