Diamond	nTrees	Replicate	Net0_lnL	Net1_lnL	Net2_lnL	best_h	RF_dist	HBS	gamma
d1	100	0	-2577.4686576271033	-2478.5265692666253	-2468.5277468668305	2	2	1	NA
d1	100	1	-2363.2693967177493	-2247.234177233438	-2247.3677107037433	1	6	0	NA
d1	100	2	-2422.041278181101	-2335.9664449670677	-2335.97371626431	1	4	1	NA
d1	100	3	-2445.9890109402622	-2350.9938045989397	-2338.3202710870987	2	4	0	NA
d1	100	4	-2487.3171207624164	-2416.2388770446146	-2405.194659662391	2	6	0	NA
d1	100	5	-2648.0442929372875	-2544.4362316374018	-2544.511475889547	1	6	0	NA
d1	100	6	-2646.96215602523	-2585.628309829473	-2582.3470018268854	2	6	0	NA
d1	100	7	-2529.979449553261	-2451.6103834481646	-2446.2949978323336	2	4	0	NA
d1	100	8	-2677.4538280488496	-2677.452813143166	-2666.246442746513	2	6	0	NA
d1	100	9	-2393.316106789175	-2307.166520495713	-2302.6483680382357	2	0	1	0.494
d1	100	10	-2591.1841120539725	-2539.19503271861	-2539.128745290679	1	4	1	NA
d1	100	11	-2555.584138709671	-2499.9632744570276	-2497.6518169749984	2	4	1	NA
d1	100	12	-2657.0353615180015	-2566.284819478069	-2564.8520646058323	1	0	1	0.4765762096083974
d1	100	13	-2258.2269117095134	-2156.1336874477593	-2156.145759594204	1	0	1	0.3657391451349889
d1	100	14	-2581.317813070862	-2520.5799755695366	-2520.75572051443	1	0	1	0.4575965579194176
d1	100	15	-2760.312511102292	-2677.5838421701237	-2676.8284065714615	1	2	1	NA
d1	100	16	-2550.5391772158973	-2462.321929324749	-2457.8194471284505	2	0	1	0.4078341453269348
d1	100	17	-2481.5409987137223	-2404.7962579338255	-2403.0836411124774	1	0	1	0.35726819950366767
d1	100	18	-2515.2326201028754	-2357.0328655089374	-2357.0565411051657	1	0	1	0.4835878269310053
d1	100	19	-2454.915801965545	-2401.446615664535	-2392.37149095801	2	4	1	NA
d1	100	20	-2777.533557470054	-2711.6113169935566	-2710.611095376225	1	4	1	NA
d1	100	21	-2676.4879005758285	-2604.7549193162895	-2598.004633471896	2	4	1	NA
d1	100	22	-2669.0481924501996	-2502.623903281499	-2502.588736149894	1	0	1	0.48794000000000004
d1	100	23	-2580.450293320618	-2513.44964573091	-2513.4727428866486	1	0	1	0.45979575818014484
d1	100	24	-2698.628567785563	-2629.5152625549285	-2626.4089366886788	2	2	1	NA
d1	100	25	-2581.110454119387	-2492.2359282121465	-2483.088403772943	2	6	0	NA
d1	100	26	-2598.4694563572307	-2528.708496983599	-2527.121138513059	1	4	1	NA
d1	100	27	-2546.631846119024	-2420.295817317077	-2412.7999930676874	2	6	0	NA
d1	100	28	-2350.591340784799	-2281.29386536052	-2272.8061402784974	2	2	1	NA
d1	100	29	-2753.251975604976	-2674.1561917532676	-2674.3864557105167	1	4	1	NA
d1	100	30	-2577.2065105262222	-2501.034463991603	-2500.9368134558745	1	0	1	0.45912616431322856
d1	100	31	-2820.4404544033637	-2749.0941630266902	-2749.1966158186265	1	0	1	0.4611315303753044
d1	100	32	-2707.2898051857846	-2597.3686338791144	-2594.54052751272	2	0	1	0.4460733095850436
d1	100	33	-2685.156594848158	-2623.6538738623817	-2620.6220677085507	2	4	1	NA
d1	100	34	-2484.0556680098175	-2409.3312100548474	-2406.180827681162	2	6	0	NA
d1	100	35	-2529.5424286674292	-2426.9539144834544	-2427.0179080464127	1	0	1	0.47572177417764056
d1	100	36	-2585.2169386920286	-2487.375305007754	-2486.690641268599	1	6	0	NA
d1	100	37	-2786.79702078232	-2733.493756201059	-2733.4534157021494	1	0	1	0.4477742494845097
d1	100	38	-2498.857626134691	-2444.8186097194366	-2444.695536979754	1	0	1	0.47097973967153567
d1	100	39	-2597.7600882546835	-2538.9045966057383	-2537.1643973805353	1	2	1	NA
d1	100	40	-2580.0290680634866	-2507.8951834272534	-2501.0708609745857	2	4	0	NA
d1	100	41	-2563.17992002387	-2474.842188027941	-2472.303257153839	2	4	0	NA
d1	100	42	-2602.904273564376	-2565.708179264795	-2565.762356292721	1	0	1	0.4937233649841374
d1	100	43	-2409.511652771697	-2333.0990890437024	-2325.233097868065	2	0	1	0.40178440012284355
d1	100	44	-2374.1288879130684	-2275.332845553919	-2267.6820815763717	2	4	1	NA
d1	100	45	-2657.9278261619793	-2566.4671032040665	-2561.2424127855033	2	4	0	NA
d1	100	46	-2572.205312406552	-2535.837584215913	-2533.9623462171485	1	4	0	NA
d1	100	47	-2754.1377578178513	-2669.145215033339	-2669.076961213823	1	0	1	0.4849679160296727
d1	100	48	-2713.7227018829717	-2617.7495409551334	-2617.6991721597797	1	4	1	NA
d1	100	49	-2207.286517639813	-2108.8257647853407	-2102.57813841965	2	4	1	NA
d1	100	50	-2694.633491808226	-2641.2013881496428	-2637.371185540226	2	0	1	0.4535680862012751
d1	100	51	-2555.776783019287	-2470.414405767061	-2460.3867109214348	2	4	0	NA
d1	100	52	-2544.6901700646085	-2519.2534396502183	-2518.9460650028504	1	0	1	0.4593364034939903
d1	100	53	-2697.293306480636	-2607.0907384293614	-2607.097801545294	1	0	1	0.4588388782612811
d1	100	54	-2493.635807747638	-2419.598436669002	-2419.5240702207616	1	0	1	0.44763682725974024
