Diamond	nTrees	Replicate	Net0_lnL	Net1_lnL	Net2_lnL	best_h	RF_dist	HBS	gamma
d1	100	0	339.51109200259424	47.16889087722619	47.168882614141936	1	0	1	0.435370735199811
d1	100	1	274.5530594960535	18.21430000126078	18.214130291769518	1	0	1	0.45133442848190775
d1	100	2	295.2336189954548	17.89359134321615	17.893591342857444	1	0	1	0.47689220050476555
d1	100	3	251.72293015340068	26.732787797270106	26.731206695355798	1	0	1	0.4679582291438421
d1	100	4	181.7594834804291	34.417984067155494	34.41798406638816	1	0	1	0.32408696551817284
d1	100	5	271.1811040360191	51.86126092623076	51.86126092621829	1	6	0	NA
d1	100	6	202.80008392394743	44.13340190539939	44.13338170822211	1	0	1	0.4996685038161338
d1	100	7	304.1226180098888	18.798743034376525	18.798743034339044	1	0	1	0.43194560456737646
d1	100	8	51.758147061887854	21.380122691683397	21.380122014447274	1	2	1	NA
d1	100	9	235.69506872375277	47.003495910624245	47.003495231398624	1	0	1	0.4279359800101416
d1	100	10	195.6657958239621	25.24870866428096	25.24870866193433	1	0	1	0.39216118428811064
d1	100	11	200.07349973383504	38.860639273275545	38.86063927308115	1	0	1	0.36462924579254147
d1	100	12	275.0747898014458	75.46793882798165	75.46793118848714	1	0	1	0.32940779142083615
d1	100	13	237.0844755420615	28.715909586402685	28.715909586341677	1	0	1	0.41711980614732447
d1	100	14	192.92231239767807	44.27368789776075	44.27218834109325	1	0	1	0.4728301177536397
d1	100	15	233.33765616190408	22.83595063605626	22.83595063579522	1	0	1	0.42881070164691065
d1	100	16	195.56750412918268	25.244546364939772	25.244544723063637	1	0	1	0.470054402452748
d1	100	17	220.4417635050161	26.44309646187085	26.44203292490379	1	0	1	0.4962851968695313
d1	100	18	328.331618783025	11.61557457184371	11.615574570892086	1	0	1	0.4546557343946039
d1	100	19	147.90966593235018	10.633248079780595	10.633248079703076	1	0	1	0.32394554937076925
d1	100	20	147.81651322749408	23.574102858235957	23.57304337109532	1	0	1	0.46996053864666965
d1	100	21	235.6284281562362	37.486394109829355	37.486357452129525	1	0	1	0.43285417296195905
d1	100	22	325.3518493060712	24.345981613204753	24.345814245010946	1	0	1	0.40336381833456764
d1	100	23	231.78055540779405	35.17111698120105	35.1711169811353	1	0	1	0.45829314110946406
d1	100	24	243.87226293704575	38.35276843958757	38.35276842972762	1	0	1	0.35361622993385183
d1	100	25	264.86681120404353	22.774298482573666	22.77428613206815	1	0	1	0.4964263459650251
d1	100	26	227.60092123599537	35.67047128598886	35.6704710794063	1	0	1	0.4501221904638969
d1	100	27	393.84115627575693	29.98763442665228	29.98763442614013	1	0	1	0.49268760279672263
d1	100	28	197.36244643570285	24.953491326062956	24.953386704838277	1	0	1	0.364731504683862
d1	100	29	226.55571003074837	26.058841945928545	26.058841891007567	1	4	1	NA
d1	100	30	222.23626786589716	19.220021440482455	19.220021437947228	1	0	1	0.406329935449394
d1	100	31	193.57849835295778	15.618874408194703	15.618863342061802	1	4	0	NA
d1	100	32	276.020125044492	30.748356123969426	30.74835332556673	1	0	1	0.4600512377990703
d1	100	33	182.25873390013473	19.891081649773387	19.89108164929634	1	0	1	0.362353164865266
d1	100	34	234.95347829030808	24.762631241995543	24.762578720965895	1	0	1	0.4708571119874042
d1	100	35	237.35788882136194	27.518519770479074	27.51851977041672	1	0	1	0.4909584985206137
d1	100	36	298.6951195128355	46.5166338059306	46.51663379716518	1	0	1	0.4487343890449081
d1	100	37	173.2666049249593	21.823111867488386	21.823049936150383	1	0	1	0.4771912467224066
d1	100	38	146.05445728919415	26.436936052661633	26.43671371741178	1	0	1	0.4489150821805846
d1	100	39	161.2565206169563	14.259425411989463	14.259425411828383	1	0	1	0.44826623615674077
d1	100	40	220.187845683785	30.53146792223248	30.531219459766312	1	0	1	0.47788461552205674
d1	100	41	308.8703894814305	25.8281742064852	25.8281742064678	1	0	1	0.4026069298849078
d1	100	42	122.26067303211326	32.92780220210891	32.91986144104362	1	0	1	0.3775132786627592
d1	100	43	160.1764689765129	8.219660315462582	8.219487837580122	1	0	1	0.45158885304711693
d1	100	44	263.10671728166915	42.56916748033175	42.569124184624606	1	0	1	0.4229018550903133
d1	100	45	272.5512636128746	60.407476872663466	60.40747687256773	1	0	1	0.48698261070918836
d1	100	46	150.9918842286727	25.486484973154877	25.48648496983417	1	0	1	0.335347374062371
d1	100	47	249.387868525152	31.783518788251136	31.783518788250174	1	0	1	0.37184774038926605
d1	100	48	271.68612385501666	14.32826541310775	14.328265404590919	1	0	1	0.4759526672467631
d1	100	49	285.4750909131473	25.09319212891988	25.093191182981325	1	0	1	0.4682979045852497
d1	100	50	224.1563471879445	47.14133811335783	47.14133281195106	1	0	1	0.4192903294292954
d1	100	51	257.44339764921176	30.32715193837631	30.327151937748535	1	0	1	0.4393383148358547
d1	100	52	52.69416012440378	13.526687081585473	13.526664963001654	1	0	1	0.15712364523592862
d1	100	53	330.80882513333717	57.39019456656764	57.390121693605764	1	0	1	0.4731529215374016
d1	100	54	215.91926125662854	21.104976264697427	21.104976264315543	1	0	1	0.4757750686566247
d1	100	55	232.7043384249402	43.77099380850945	43.770957783069264	1	0	1	0.43354881804382545
d1	100	56	225.60551806281617	26.651207836283564	26.651207836280236	1	0	1	0.416203704280818
d1	100	57	115.43340026703248	11.011259598736798	11.011246337602007	1	0	1	0.44318570867035095
d1	100	58	225.68236474081093	9.71723085589517	9.717230643788994	1	0	1	0.4571409758910815
d1	100	59	298.2720330134951	45.470491319364264	45.47003091695277	1	0	1	0.4899128175195132
d1	100	60	186.17092239481946	39.26338812744967	39.26338790084666	1	0	1	0.49510501369824267
d1	100	61	214.23250737885894	21.69018033358399	21.690180333582582	1	0	1	0.4809277687975192
d1	100	62	155.8428301231354	26.034487445293852	26.03388732448369	1	0	1	0.4464482020801142
d1	100	63	225.59935600343925	34.15055959850078	34.15055959848024	1	0	1	0.3915939028674166
d1	100	64	243.1548226508603	25.089460738290057	25.08946073828974	1	0	1	0.45455228021994076
d1	100	65	316.95207239010176	47.78302636591498	47.78302636580233	1	0	1	0.49648034510109135
d1	100	66	220.29128635600395	15.959740543689762	15.959740536477739	1	0	1	0.45448733164304
d1	100	67	163.32640500658624	33.65141022336594	33.64183545684832	1	0	1	0.3556636403828739
d1	100	68	182.96194498689812	15.589650510571067	15.58964183996026	1	0	1	0.37838824785467357
d1	100	69	183.07526217185716	47.04083189212372	47.040607573111046	1	0	1	0.36186693529322245
d1	100	70	217.4729297797129	23.244635897321043	23.244524157478143	1	0	1	0.4265890476100878
d1	100	71	274.37771467477353	15.835110765296518	15.835110765274573	1	0	1	0.48786425484805723
d1	100	72	256.0340985637788	24.608904449545687	24.608050410664628	1	0	1	0.37510149077542404
d1	100	73	257.1074257779231	10.670294075353189	10.663032325161495	1	0	1	0.4448467293440145
d1	100	74	191.71155286576786	25.919543722922178	25.919543722921897	1	0	1	0.4668073501609851
d1	100	75	248.43943929482262	23.168731704308662	23.168727383774154	1	0	1	0.4816679939543921
d1	100	76	291.2218425937346	44.29302376959331	44.292984020886955	1	0	1	0.4502544031660985
d1	100	77	280.3823019890551	24.10801855905374	24.10801855858456	1	0	1	0.48942564823679585
d1	100	78	248.20386221809034	12.976631325397364	12.976631303342877	1	0	1	0.39789923824226203
d1	100	79	210.98833047439217	10.083751838211363	10.083751837339767	1	0	1	0.41890755422399667
d1	100	80	180.97507300245886	23.77073256653011	23.77073118531044	1	0	1	0.3538135835445845
d1	100	81	243.56510173777613	19.387676658460386	19.387676652472123	1	0	1	0.3927240179727368
d1	100	82	169.81189382469435	24.713267474194183	24.713267474180626	1	0	1	0.4742870181322544
d1	100	83	264.8936473220178	24.477493048169197	24.477493048151494	1	0	1	0.4555838568318481
d1	100	84	222.3262441720629	26.12774680097422	26.1277468000113	1	0	1	0.49565521723804784
d1	100	85	157.08820694323623	20.551697609891686	20.5515379992647	1	0	1	0.3786242865238686
d1	100	86	137.61955207654657	33.566357055322094	33.56633180604971	1	0	1	0.47315126414750563
d1	100	87	348.5748044428386	42.585484440694195	42.58548442794682	1	0	1	0.4207367301515724
d1	100	88	181.08774637411074	38.622674724131926	38.62267162411592	1	0	1	0.4678172202245762
d1	100	89	147.73301165977276	42.190524835539826	42.18835141995724	1	0	1	0.3855090083923557
d1	100	90	232.6147334999676	36.52807912288437	36.52791208733558	1	0	1	0.4308062792238977
d1	100	91	237.68463035716113	22.664307757574576	22.664238929492164	1	0	1	0.3504174193223336
