Methods	Root	Root.Error	NNI.Error	Diamond	nTrees	Percent_Correct
InferNetwork_MPL	r1	0	0	d1	100	100
InferNetwork_MPL	r1	0	0	d1	500	100
InferNetwork_MPL	r1	0	0	d1	1000	100
InferNetwork_MPL	r1	0	0	d1	5000	100
InferNetwork_MPL	r1	0	0	d2	100	97
InferNetwork_MPL	r1	0	0	d2	500	100
InferNetwork_MPL	r1	0	0	d2	1000	100
InferNetwork_MPL	r1	0	0	d2	5000	100
InferNetwork_MPL	r1	0	0	d3	100	100
InferNetwork_MPL	r1	0	0	d3	500	100
InferNetwork_MPL	r1	0	0	d3	1000	100
InferNetwork_MPL	r1	0	0	d3	5000	100
InferNetwork_MPL	r1	0	0	d4	100	99
InferNetwork_MPL	r1	0	0	d4	500	100
InferNetwork_MPL	r1	0	0	d4	1000	100
InferNetwork_MPL	r1	0	0	d4	5000	100
InferNetwork_MPL	r1	0	0	d5	100	100
InferNetwork_MPL	r1	0	0	d5	500	100
InferNetwork_MPL	r1	0	0	d5	1000	100
InferNetwork_MPL	r1	0	0	d5	5000	100
InferNetwork_MPL	r1	0	0	d6	100	100
InferNetwork_MPL	r1	0	0	d6	500	100
InferNetwork_MPL	r1	0	0	d6	1000	100
InferNetwork_MPL	r1	0	0	d6	5000	100
InferNetwork_MPL	r1	0	0	d7	100	100
InferNetwork_MPL	r1	0	0	d7	500	100
InferNetwork_MPL	r1	0	0	d7	1000	100
InferNetwork_MPL	r1	0	0	d7	5000	100
InferNetwork_MPL	r1	0	0	d8	100	100
InferNetwork_MPL	r1	0	0	d8	500	100
InferNetwork_MPL	r1	0	0	d8	1000	100
InferNetwork_MPL	r1	0	0	d8	5000	100
InferNetwork_MPL	r1	0	0	d9	100	100
InferNetwork_MPL	r1	0	0	d9	500	100
InferNetwork_MPL	r1	0	0	d9	1000	100
InferNetwork_MPL	r1	0	0	d9	5000	100
InferNetwork_MPL	r1	0.1	0	d1	100	97
InferNetwork_MPL	r1	0.1	0	d1	500	100
InferNetwork_MPL	r1	0.1	0	d1	1000	100
InferNetwork_MPL	r1	0.1	0	d1	5000	98
InferNetwork_MPL	r1	0.1	0	d2	100	99
InferNetwork_MPL	r1	0.1	0	d2	500	100
InferNetwork_MPL	r1	0.1	0	d2	1000	100
InferNetwork_MPL	r1	0.1	0	d2	5000	98
InferNetwork_MPL	r1	0.1	0	d3	100	100
InferNetwork_MPL	r1	0.1	0	d3	500	100
InferNetwork_MPL	r1	0.1	0	d3	1000	100
InferNetwork_MPL	r1	0.1	0	d3	5000	100
InferNetwork_MPL	r1	0.1	0	d4	100	100
InferNetwork_MPL	r1	0.1	0	d4	500	100
InferNetwork_MPL	r1	0.1	0	d4	1000	99
InferNetwork_MPL	r1	0.1	0	d4	5000	100
InferNetwork_MPL	r1	0.1	0	d5	100	100
InferNetwork_MPL	r1	0.1	0	d5	500	100
InferNetwork_MPL	r1	0.1	0	d5	1000	100
InferNetwork_MPL	r1	0.1	0	d5	5000	100
InferNetwork_MPL	r1	0.1	0	d6	100	99
InferNetwork_MPL	r1	0.1	0	d6	500	100
InferNetwork_MPL	r1	0.1	0	d6	1000	100
InferNetwork_MPL	r1	0.1	0	d6	5000	100
InferNetwork_MPL	r1	0.1	0	d7	100	100
InferNetwork_MPL	r1	0.1	0	d7	500	100
InferNetwork_MPL	r1	0.1	0	d7	1000	100
InferNetwork_MPL	r1	0.1	0	d7	5000	100
InferNetwork_MPL	r1	0.1	0	d8	100	100
InferNetwork_MPL	r1	0.1	0	d8	500	100
InferNetwork_MPL	r1	0.1	0	d8	1000	100
InferNetwork_MPL	r1	0.1	0	d8	5000	100
InferNetwork_MPL	r1	0.1	0	d9	100	100
InferNetwork_MPL	r1	0.1	0	d9	500	100
InferNetwork_MPL	r1	0.1	0	d9	1000	100
InferNetwork_MPL	r1	0.1	0	d9	5000	100
InferNetwork_MPL	r1	0.1	0.1	d1	100	98
InferNetwork_MPL	r1	0.1	0.1	d1	500	100
InferNetwork_MPL	r1	0.1	0.1	d1	1000	99
InferNetwork_MPL	r1	0.1	0.1	d1	5000	99
InferNetwork_MPL	r1	0.1	0.1	d2	100	96
