Diamond	SeqLen	xPos	FoundOneEdge	CorrectNetwork	HasHybridEdge
d1	250	0.7000000000000001	20	20	20
d1	1000	0.9000000000000001	19	19	19
d1	4000	1.1	20	20	20
d2	250	1.7000000000000002	20	17	17
d2	1000	1.9000000000000001	20	20	20
d2	4000	2.1	20	20	20
d3	250	2.7	20	18	18
d3	1000	2.9000000000000004	20	20	20
d3	4000	3.1000000000000005	20	20	20
d8	250	3.6999999999999997	20	20	20
d8	1000	3.9	20	20	20
d8	4000	4.1	20	20	20
d9	250	4.699999999999999	20	16	16
d9	1000	4.8999999999999995	20	18	18
d9	4000	5.1	20	17	17
