Diamond	phi	nTrees	SeqLength	Replicate	Net0_lnL	Net1_lnL	Net2_lnL	best_h	RF_dist	HBS	gamma
d1	phi1	250	1000	0	194.2439154227757	11.02012043385093	11.019747439393008	1	0	1	0.45022281141829695
d1	phi1	250	1000	1	249.95535997533824	9.330485122059965	9.330464460468328	1	0	1	0.4932875590261785
d1	phi1	250	1000	2	183.54273076359638	7.516388758059329	7.51638875373293	1	0	1	0.4573241971587492
d1	phi1	250	1000	3	203.8290124986624	4.966351052570951	4.966351052479054	1	0	1	0.4114317284387075
d1	phi1	250	1000	4	223.7791119851817	11.520262579628529	11.520262573574119	1	0	1	0.44644206473467274
d1	phi1	250	1000	5	262.5716846079009	14.016295288895721	14.016294854583943	1	0	1	0.48262597151875664
d1	phi1	250	1000	6	235.82181821929612	5.791713387206408	5.791487464357215	1	0	1	0.41323490867521484
d1	phi1	250	1000	7	256.0577418113028	14.028261129970549	14.028208605891951	1	0	1	0.46418270302459785
d1	phi1	250	1000	8	189.27762737231933	9.896180929673722	9.896180929637715	1	0	1	0.47671960382019507
d1	phi1	250	1000	9	219.47774148087908	21.53051464969987	21.530464513758506	1	0	1	0.42081679521792736
d1	phi1	250	1000	10	279.60357648088154	4.754948314244945	4.754765891273213	1	0	1	0.4072653895095816
d1	phi1	250	1000	11	149.0296206453315	5.429784064638689	5.429783769223447	1	0	1	0.4929951592400401
d1	phi1	250	1000	12	217.39285889132617	8.543576810135985	8.543478864408907	1	0	1	0.4557397860770372
d1	phi1	250	1000	13	178.7620746118025	12.178499044739583	12.178062717105112	1	0	1	0.45048253074391553
d1	phi1	250	1000	14	220.30947983549245	12.554187990169954	12.554069191355506	1	0	1	0.4447730665977932
d1	phi1	250	1000	15	163.2830922211395	9.658766786970572	9.658613108392634	1	0	1	0.43574186191655434
d1	phi1	250	1000	16	191.7406416294308	13.586483522751807	13.586277694856022	1	0	1	0.4487185834208878
d1	phi1	250	1000	17	185.47863267447497	4.160166360349264	4.160115431921689	1	0	1	0.4941604878460153
d1	phi1	250	1000	18	214.91014763110266	7.7868103952084695	7.786810395205122	1	0	1	0.4918236225191109
d1	phi1	250	1000	19	175.89129623856635	5.045000775780646	5.045000775711659	1	0	1	0.47651171435023604
d1	phi1	1000	1000	0	225.99972625835136	3.7677088523349984	3.7677088514272006	1	0	1	0.4814217636520397
d1	phi1	1000	1000	1	215.20970210109041	1.2516445658218212	1.2515753882483782	1	0	1	0.4807593345602026
d1	phi1	1000	1000	2	205.0277656550131	1.6030086039225957	1.603008433503124	1	0	1	0.46170146340770346
d1	phi1	1000	1000	3	202.4533233406522	5.261581746133663	5.261581037445752	1	0	1	0.4786696002395715
d1	phi1	1000	1000	4	204.59290086032723	3.465683854702551	3.4656838521787616	1	0	1	0.4944467200825686
d1	phi1	1000	1000	5	179.91275267747105	1.7251498407910981	1.7251498394951716	1	0	1	0.4566468380733892
d1	phi1	1000	1000	6	208.67878488494958	2.21802313723322	2.218023136664126	1	0	1	0.43725412889634935
d1	phi1	1000	1000	7	195.6357104994071	6.277826581225095	6.277826555862619	1	0	1	0.4743644128077058
d1	phi1	1000	1000	8	187.19850260249007	1.5793671467543495	1.5792791487893192	1	0	1	0.4557013291827714
d1	phi1	1000	1000	9	184.51802659065802	1.9346123665080173	1.93455410872366	1	0	1	0.45856935351095846
d1	phi1	1000	1000	10	235.3585302524243	2.6687970084344332	2.6687970057104637	1	0	1	0.47611240211125755
d1	phi1	1000	1000	11	183.9275739807566	1.5294077295110653	1.529377283742269	1	0	1	0.4665891015596738
d1	phi1	1000	1000	12	172.8324066311463	1.9212636842659918	1.921263684222301	1	0	1	0.4605937856104435
d1	phi1	1000	1000	13	181.67445489236604	1.2771330053235297	1.27710373372658	1	0	1	0.4985928232770303
d1	phi1	1000	1000	14	189.47790278456614	3.3244174895421237	3.324417489478417	1	0	1	0.47249937326863817
d1	phi1	1000	1000	15	193.7158574552798	1.7543982797423918	1.7541662372297693	1	0	1	0.4422186423684896
d1	phi1	1000	1000	16	227.54252086957248	2.4068157975765883	2.4068096766965335	1	0	1	0.47023291408071377
d1	phi1	1000	1000	17	210.65510055274473	3.057916831370052	3.057916831040541	1	0	1	0.48305633677000626
d1	phi1	1000	1000	18	168.77404333398616	3.6920104932928584	3.6920104932873494	1	0	1	0.4359336089815413
d1	phi1	1000	1000	19	192.11199705109135	4.093640952642792	4.093640382231813	1	0	1	0.4708755791076181
d1	phi1	4000	1000	0	181.2627140931236	0.8912198460083954	0.8912198457976604	1	0	1	0.4739164885309337
d1	phi1	4000	1000	1	182.8488250719549	0.9834249298370363	0.983424929813771	1	0	1	0.4692400952799112
d1	phi1	4000	1000	2	190.79430350510043	0.6671351421557269	0.6671092987029494	1	0	1	0.4833657260005493
d1	phi1	4000	1000	3	194.2025981409674	0.320841343075655	0.320838219971786	1	0	1	0.492651818276453
d1	phi1	4000	1000	4	196.24084107562797	0.6568490048166119	0.6568490037109316	1	0	1	0.4869895156334222
d1	phi1	4000	1000	5	181.4698294136741	0.7358427981433602	0.7358385194196577	1	0	1	0.4992085703751894
d1	phi1	4000	1000	6	218.288646917593	0.5623139513087426	0.5623138924377683	1	0	1	0.49836924641134894
d1	phi1	4000	1000	7	184.12751513280023	0.9838843862855401	0.9838841656150772	1	0	1	0.46689383477627405
d1	phi1	4000	1000	8	200.623511707791	0.7853111393244612	0.7853111118546449	1	0	1	0.48695661600627915
d1	phi1	4000	1000	9	204.3928014222123	0.9972219334446948	0.9971472274815683	1	0	1	0.48594683983014036
d1	phi1	4000	1000	10	181.47646482689578	1.646235855367077	1.645971292800993	1	0	1	0.4885803756786754
d1	phi1	4000	1000	11	199.51508011887555	0.8356677647681072	0.8356677647134914	1	0	1	0.486276160287929
d1	phi1	4000	1000	12	196.87848111604012	0.614659022218068	0.6142507937230671	1	0	1	0.4661742238584632
d1	phi1	4000	1000	13	189.69786128041085	0.4062885415827986	0.4054297270580043	1	0	1	0.4834827403322752
d1	phi1	4000	1000	14	196.9506500138787	0.9654282175106645	0.9654280333204956	1	0	1	0.480562375889079
d1	phi1	4000	1000	15	203.3840096307638	0.7166995801991067	0.716699580196388	1	0	1	0.4916328231242515
d1	phi1	4000	1000	16	199.71898184303615	0.47567442620645173	0.4756744262034901	1	0	1	0.4967416079495809
d1	phi1	4000	1000	17	194.95731775828546	1.741827914998542	1.7418279149938052	1	0	1	0.4800208295140255
d1	phi1	4000	1000	18	197.3063442209508	0.9661425368326001	0.9661067547955169	1	0	1	0.4542966380396045
d1	phi1	4000	1000	19	193.67176069092028	0.8964973149226192	0.8964787033371427	1	0	1	0.46978599079894484
d1	phi2	250	1000	0	84.33324402069661	14.632590368925872	14.632590368895288	1	0	1	0.18300770959858537
d1	phi2	250	1000	1	91.45728134216752	19.304117055789547	19.304116908864668	1	0	1	0.2795527230173704
d1	phi2	250	1000	2	89.51971366614525	4.947811174599475	4.947803814467814	1	0	1	0.3265635947690987
d1	phi2	250	1000	3	86.67809922775501	6.096753630450553	6.096753630446014	1	0	1	0.18703322634133862
d1	phi2	250	1000	4	93.62326160030942	4.669651803867453	4.658756069243433	1	0	1	0.2135229951887319
d1	phi2	250	1000	5	98.28767913232858	8.242983640573753	8.242675246811917	1	0	1	0.1929428118682694
d1	phi2	250	1000	6	130.8685186925523	6.6376221024136015	6.6376202847705486	1	0	1	0.3100182656420036
d1	phi2	250	1000	7	144.25502454731148	7.430024756014035	7.429848228128271	1	0	1	0.31131251073912297
d1	phi2	250	1000	8	99.62505762214776	5.957167820106776	5.957167817978934	1	0	1	0.226961381275687
d1	phi2	250	1000	9	140.75578316391648	19.603380502059945	19.603370396656363	1	0	1	0.2446430189993363
d1	phi2	250	1000	10	90.66256375654056	15.73389996789443	15.733899967651574	1	0	1	0.21307972070330045
d1	phi2	250	1000	11	76.0894088404693	6.174866108731908	6.174866106865033	1	0	1	0.24629421317142985
d1	phi2	250	1000	12	71.57422252286379	9.705223844808677	9.705223844808666	1	0	1	0.21488997136642174
d1	phi2	250	1000	13	104.92744691617118	14.937784799261191	14.937784771599796	1	0	1	0.32423539462244666
d1	phi2	250	1000	14	105.04568826634255	23.04857979602406	23.048579795793955	1	6	0	None
d1	phi2	250	1000	15	117.01706002565967	10.783163776149433	10.783163246804708	1	0	1	0.24831387379271586
d1	phi2	250	1000	16	125.55560786231088	27.537022894637133	27.408213811245986	1	0	1	0.2435473083035935
d1	phi2	250	1000	17	118.17755315998083	4.972637182251164	4.97258080790224	1	0	1	0.2339160199657486
d1	phi2	250	1000	18	85.79089323304136	8.28982740550359	8.289750113145619	1	0	1	0.32230799374573404
d1	phi2	250	1000	19	77.12743953979326	11.957039098286637	11.957027494000087	1	0	1	0.1872107933799369
d1	phi2	1000	1000	0	103.70567509287312	1.561712234515921	1.561712190776341	1	0	1	0.27954130223702744
d1	phi2	1000	1000	1	107.53953832941133	1.4383750994784883	1.4383151718956722	1	0	1	0.27872072379722035
d1	phi2	1000	1000	2	103.29696598459137	2.1440191959346513	2.1440191957158183	1	0	1	0.31409095871643516
d1	phi2	1000	1000	3	121.39135267703725	1.847971597823848	1.8479715978166502	1	0	1	0.2670104502285465
d1	phi2	1000	1000	4	70.79887566630083	2.734308518020156	2.7343085172416064	1	0	1	0.17943595446147637
d1	phi2	1000	1000	5	84.8961271574578	1.3745327360110193	1.3745327245313739	1	0	1	0.25573320651482356
d1	phi2	1000	1000	6	103.06756357881362	2.5397617472462266	2.5397580528499164	1	0	1	0.285173445473419
d1	phi2	1000	1000	7	71.07869562933674	1.6547547410229346	1.654707500851894	1	0	1	0.31932823286707923
d1	phi2	1000	1000	8	87.3188516813884	3.0809074176471176	3.080907417143877	1	0	1	0.21030834170668603
d1	phi2	1000	1000	9	115.65960408891719	4.895827319771945	4.895827314624072	1	0	1	0.29479774052045826
d1	phi2	1000	1000	10	64.4682910248427	1.40290142387943	1.3823196175280141	1	0	1	0.20591259599015313
d1	phi2	1000	1000	11	79.46422274992483	3.364717962283616	3.3644906351259194	1	0	1	0.24504178605112692
d1	phi2	1000	1000	12	107.5795493659456	2.252947836802014	2.252947836739911	1	0	1	0.2749914740110725
d1	phi2	1000	1000	13	92.8591562536636	4.5993707065673854	4.599162083295009	1	0	1	0.2837164357489661
d1	phi2	1000	1000	14	88.5356144623333	9.500306865418477	9.500306855063975	1	0	1	0.22616611555437863
d1	phi2	1000	1000	15	110.33883081429674	2.373986042065075	2.373986041989091	1	0	1	0.2854610462549452
d1	phi2	1000	1000	16	104.33521434146313	2.475230033792109	2.475230020383748	1	0	1	0.2578127755168492
d1	phi2	1000	1000	17	86.77358119343714	2.4872387507817755	2.487238749787604	1	0	1	0.207277891684424
d1	phi2	1000	1000	18	99.96213000346769	1.1500252951775294	1.149958515125145	1	0	1	0.32080325810847166
d1	phi2	1000	1000	19	75.82583748853925	3.7691186720610084	3.7691186490224533	1	0	1	0.22476482523991526
d1	phi2	4000	1000	0	93.02599749542438	0.7578556622480316	0.7578556622426549	1	0	1	0.2554509574877116
d1	phi2	4000	1000	1	87.9691704904204	0.8007264630801074	0.8007264630510678	1	0	1	0.2570080289910799
d1	phi2	4000	1000	2	86.95756314093882	0.5331740477808525	0.5331740475205482	1	0	1	0.24601971361722108
d1	phi2	4000	1000	3	82.27888467462888	0.4091325961324504	0.4090603997899758	1	0	1	0.26450571444113213
d1	phi2	4000	1000	4	95.51866387190279	1.4735700080692	1.473570008054217	1	0	1	0.2677019935788275
d1	phi2	4000	1000	5	97.69961211567771	1.1005150968980622	1.1003752359237817	1	0	1	0.25305776967884336
d1	phi2	4000	1000	6	87.01774802119377	0.712232530015573	0.7122325287598507	1	0	1	0.24443071867566885
d1	phi2	4000	1000	7	97.94861768268322	0.5130502551520263	0.5128460673477958	1	0	1	0.277752396148349
d1	phi2	4000	1000	8	93.32924561870948	0.3906644415104184	0.39066444148782137	1	0	1	0.24220737391441077
d1	phi2	4000	1000	9	87.15079187313718	0.8872417396943724	0.8491200859704086	1	0	1	0.2226526802137133
d1	phi2	4000	1000	10	88.61368422545216	1.188630440466831	1.188630438908839	1	0	1	0.23965356162761714
d1	phi2	4000	1000	11	89.99750434906822	0.46905475078143655	0.4690547501601515	1	0	1	0.23791825480879278
d1	phi2	4000	1000	12	94.13899074924406	1.0057970332128412	1.0057970328708448	1	0	1	0.25274465773063615
d1	phi2	4000	1000	13	89.46234733293362	0.6228845306253913	0.6228845306220286	1	0	1	0.2532431397010327
d1	phi2	4000	1000	14	91.5828042302174	0.5124343389847206	0.5124343388708921	1	0	1	0.26447595934196905
d1	phi2	4000	1000	15	97.03813157486692	1.0253171435867448	1.0253168723941108	1	0	1	0.2557639561543453
d1	phi2	4000	1000	16	90.18776024090435	0.6501805469308821	0.6501805465642422	1	0	1	0.271516137721165
d1	phi2	4000	1000	17	79.0614416023519	1.0857610116148848	1.0857608808884	1	0	1	0.2396432354808359
d1	phi2	4000	1000	18	103.34243893909994	1.5196662652045885	1.519492978012428	1	0	1	0.23889272160990385
d1	phi2	4000	1000	19	98.23891178471887	0.38292913197246237	0.3829291319234087	1	0	1	0.2588283772771782
d1	phi3	250	1000	0	25.57805658509056	8.080021112346925	8.078935116496154	1	6	0	None
d1	phi3	250	1000	1	38.47920200696624	15.71418287542492	15.149959170659884	1	6	0	None
d1	phi3	250	1000	2	46.770938560650976	10.127659454156309	10.127659422851968	1	0	1	0.14270593872250084
d1	phi3	250	1000	3	21.11195381640345	8.389908901763011	7.987982240010222	1	6	0	None
d1	phi3	250	1000	4	23.47203041717135	9.43849409168877	9.43849381032548	1	6	0	None
d1	phi3	250	1000	5	41.71684451002755	12.599083072603971	12.599077697388513	1	0	1	0.09298016886840865
d1	phi3	250	1000	6	45.33360073811954	3.085372792938557	3.085372792922973	1	0	1	0.10435153622319909
d1	phi3	250	1000	7	23.183657389859853	6.585474653688714	6.585474637381539	1	2	0	None
d1	phi3	250	1000	8	30.511367234739286	9.501888626536562	9.50188862646319	1	0	1	0.06735853689416509
d1	phi3	250	1000	9	14.191616871507994	4.173441822249226	4.1732987703134725	1	4	0	None
d1	phi3	250	1000	10	19.351770871117676	4.603774300058886	4.603774078637315	1	0	1	0.03174190727998654
d1	phi3	250	1000	11	37.193584941872665	11.605893922899398	11.605791973507174	1	0	1	0.1911563989816413
d1	phi3	250	1000	12	28.920927124499563	15.405881612021718	15.399365676894444	1	4	0	None
d1	phi3	250	1000	13	51.7049813407455	16.856487107035033	16.856487106010132	1	6	0	None
d1	phi3	250	1000	14	24.4324265150538	16.064328026463095	16.06432802581224	1	6	0	None
d1	phi3	250	1000	15	24.27226242073984	16.55197030011092	10.235489897495912	2	6	0	None
d1	phi3	250	1000	16	39.69613199856104	16.354110424304995	16.35407034880194	1	2	0	None
d1	phi3	250	1000	17	12.339359450628155	4.0512764187318915	4.051276418091678	1	6	0	None
d1	phi3	250	1000	18	35.40383422911635	15.450697882637241	15.450697882586137	1	2	0	None
d1	phi3	250	1000	19	38.98582830585407	11.384408047512288	11.384408046019018	1	6	0	None
d1	phi3	1000	1000	0	8.388795826791968	2.293859694283699	2.2045154171025443	1	0	1	0.012420161117238435
d1	phi3	1000	1000	1	13.11304423403519	2.6324048461287504	2.6322706702598957	1	0	1	0.025230031639476878
d1	phi3	1000	1000	2	16.80950036722874	3.7751620703981206	2.8962824007534955	1	6	0	None
