Diamond	nTrees	xPos	FoundOneEdge	CorrectNetwork	HasHybridEdge
d1	100	0.7	68	73	85
d1	500	0.9	78	81	96
d1	1000	1.1	83	84	99
d1	5000	1.3	78	85	97
d2	100	1.7	79	72	95
d2	500	1.9	79	81	100
d2	1000	2.1	75	76	99
d2	5000	2.3	80	82	100
d3	100	2.7	70	76	92
d3	500	2.9	87	89	98
d3	1000	3.1	89	92	100
d3	5000	3.3	62	86	98
d4	100	3.7	82	74	84
d4	500	3.9	82	84	89
d4	1000	4.1	80	82	86
d4	5000	4.3	81	85	91
d5	100	4.7	68	66	79
d5	500	4.9	74	74	95
d5	1000	5.1	80	80	93
d5	5000	5.3	72	76	94
d6	100	5.7	90	79	98
d6	500	5.9	88	89	100
d6	1000	6.1	87	89	100
d6	5000	6.3	86	88	100
d7	100	6.7	78	81	91
d7	500	6.9	93	94	95
d7	1000	7.1	91	92	94
d7	5000	7.3	90	95	98
d8	100	7.7	84	73	84
d8	500	7.9	83	83	84
d8	1000	8.1	87	87	89
d8	5000	8.3	85	90	90
d9	100	8.7	89	75	93
d9	500	8.9	79	78	98
d9	1000	9.1	80	82	100
d9	5000	9.3	87	87	100
