Diamond	nTrees	xPos	FoundOneEdge	CorrectNetwork	HasHybridEdge
d1	100	0.7	63	91	100
d1	500	0.9	82	97	100
d1	1000	1.1	83	96	100
d1	5000	1.3	81	97	100
d2	100	1.7	61	95	100
d2	500	1.9	80	96	100
d2	1000	2.1	75	93	100
d2	5000	2.3	69	96	100
d3	100	2.7	55	95	100
d3	500	2.9	82	100	100
d3	1000	3.1	87	100	100
d3	5000	3.3	83	100	100
d4	100	3.7	39	94	100
d4	500	3.9	67	99	100
d4	1000	4.1	62	99	100
d4	5000	4.3	60	99	100
d5	100	4.7	72	100	100
d5	500	4.9	84	100	100
d5	1000	5.1	82	100	100
d5	5000	5.3	86	100	100
d6	100	5.7	40	96	100
d6	500	5.9	37	99	100
d6	1000	6.1	51	100	100
d6	5000	6.3	41	99	100
d7	100	6.7	31	99	100
d7	500	6.9	33	100	100
d7	1000	7.1	32	100	100
d7	5000	7.3	30	100	100
d8	100	7.7	64	100	100
d8	500	7.9	72	100	100
d8	1000	8.1	77	100	100
d8	5000	8.3	70	100	100
d9	100	8.7	68	100	100
d9	500	8.9	80	100	100
d9	1000	9.1	85	100	100
d9	5000	9.3	70	100	100
