Diamond	nTrees	xPos	FoundOneEdge	CorrectNetwork	HasHybridEdge
d1	100	0.7	60	39	72
d1	500	0.9	47	37	84
d1	1000	1.1	62	46	87
d1	5000	1.3	38	36	91
d2	100	1.7	72	26	94
d2	500	1.9	67	26	97
d2	1000	2.1	68	19	100
d2	5000	2.3	58	20	100
d3	100	2.7	61	47	80
d3	500	2.9	54	54	94
d3	1000	3.1	52	64	98
d3	5000	3.3	48	68	97
d4	100	3.7	63	41	72
d4	500	3.9	64	48	57
d4	1000	4.1	53	38	46
d4	5000	4.3	51	36	40
d5	100	4.7	69	54	71
d5	500	4.9	57	58	73
d5	1000	5.1	48	53	73
d5	5000	5.3	43	56	80
d6	100	5.7	74	30	96
d6	500	5.9	75	22	100
d6	1000	6.1	75	17	100
d6	5000	6.3	54	17	100
d7	100	6.7	56	50	78
d7	500	6.9	50	45	64
d7	1000	7.1	47	38	51
d7	5000	7.3	37	49	58
d8	100	7.7	68	61	71
d8	500	7.9	71	72	77
d8	1000	8.1	76	79	80
d8	5000	8.3	64	77	77
d9	100	8.7	69	30	54
d9	500	8.9	56	22	63
d9	1000	9.1	47	20	60
d9	5000	9.3	35	23	62
