Diamond	nTrees	xPos	FoundOneEdge	CorrectNetwork	HasHybridEdge
d1	100	0.7	58	41	80
d1	500	0.9	52	38	93
d1	1000	1.1	55	44	88
d1	5000	1.3	42	46	89
d2	100	1.7	73	24	91
d2	500	1.9	71	24	99
d2	1000	2.1	61	31	100
d2	5000	2.3	52	12	98
d3	100	2.7	66	49	68
d3	500	2.9	55	53	90
d3	1000	3.1	53	60	95
d3	5000	3.3	53	66	98
d4	100	3.7	76	41	58
d4	500	3.9	62	41	61
d4	1000	4.1	58	44	60
d4	5000	4.3	47	43	64
d5	100	4.7	67	57	69
d5	500	4.9	58	55	73
d5	1000	5.1	54	53	72
d5	5000	5.3	44	57	77
d6	100	5.7	70	24	96
d6	500	5.9	74	20	100
d6	1000	6.1	78	17	100
d6	5000	6.3	54	21	100
d7	100	6.7	63	45	76
d7	500	6.9	54	53	76
d7	1000	7.1	44	49	67
d7	5000	7.3	37	50	69
d8	100	7.7	70	64	78
d8	500	7.9	76	81	82
d8	1000	8.1	72	79	80
d8	5000	8.3	66	85	85
d9	100	8.7	79	27	67
d9	500	8.9	53	27	73
d9	1000	9.1	67	31	71
d9	5000	9.3	47	28	79
