Diamond	nTrees	xPos	FoundOneEdge	CorrectNetwork	HasHybridEdge
d1	100	0.7	42	24	63
d1	500	0.9	54	31	80
d1	1000	1.1	48	23	73
d1	5000	1.3	41	18	73
d2	100	1.7	44	8	75
d2	500	1.9	59	2	90
d2	1000	2.1	64	6	89
d2	5000	2.3	53	3	94
d3	100	2.7	38	32	63
d3	500	2.9	40	37	81
d3	1000	3.1	37	42	90
d3	5000	3.3	26	41	80
d4	100	3.7	46	11	39
d4	500	3.9	70	16	36
d4	1000	4.1	57	16	39
d4	5000	4.3	45	6	19
d5	100	4.7	52	46	53
d5	500	4.9	52	46	51
d5	1000	5.1	52	49	57
d5	5000	5.3	39	47	55
d6	100	5.7	53	5	85
d6	500	5.9	69	2	99
d6	1000	6.1	67	2	100
d6	5000	6.3	58	3	100
d7	100	6.7	47	17	55
d7	500	6.9	31	14	45
d7	1000	7.1	46	12	33
d7	5000	7.3	42	6	19
d8	100	7.7	54	48	58
d8	500	7.9	57	68	68
d8	1000	8.1	48	67	68
d8	5000	8.3	39	68	68
d9	100	8.7	41	6	16
d9	500	8.9	44	3	10
d9	1000	9.1	48	0	4
d9	5000	9.3	31	0	0
