Diamond	nTrees	Replicate	Net0_lnL	Net1_lnL	Net2_lnL	best_h	RF_dist	HBS	gamma
d1	100	0	-4229.896518980656	-3845.946622882051	-3845.952505299404	1	0	1	0.47379735418048397
d1	100	1	-4059.9720530028058	-3683.66952100389	-3683.6747376670082	1	0	1	0.4193648203589146
d1	100	2	-3943.8939072523326	-3590.4768637352927	-3590.3865856049633	1	0	1	0.44561559401479833
d1	100	3	-4166.214614293239	-3703.9483442176615	-3703.9371343629127	1	0	1	0.491467992111246
d1	100	4	-3988.894179506697	-3479.6113189666657	-3479.565185362129	1	0	1	0.4921863693768219
d1	100	5	-4103.733125507687	-3665.2029797884393	-3665.121698575392	1	0	1	0.5
d1	100	6	-3915.279698649396	-3405.18301523738	-3405.189948230375	1	0	1	0.48240304495176795
d1	100	7	-3984.0125979329287	-3592.55665887961	-3592.551400948239	1	0	1	0.46368486502901485
d1	100	8	-3892.9574391967585	-3276.0995540011822	-3276.1079451929445	1	0	1	0.5
d1	100	9	-4121.188763369904	-3717.663424754179	-3717.6793176190818	1	0	1	0.48057592466322385
d1	100	10	-3946.1748686593855	-3670.1329065015207	-3669.08209513956	1	0	1	0.4495676033969921
d1	100	11	-4067.138671003425	-3640.2873450801676	-3628.2301935826595	2	2	1	NA
d1	100	12	-4090.324148476948	-3741.162431649163	-3741.1736579296125	1	0	1	0.46158872024616193
d1	100	13	-4001.2298405782067	-3572.442012452924	-3572.4365706367744	1	0	1	0.42230720150986456
d1	100	14	-3910.6104029762682	-3407.037422766596	-3407.026488488425	1	0	1	0.43172989367740844
d1	100	15	-3941.782039928111	-3457.0044909283497	-3457.0143755881995	1	0	1	0.4225845722023054
d1	100	16	-4032.949741603469	-3554.6226565689926	-3554.287887612399	1	0	1	0.4755373976806673
d1	100	17	-3973.8869687305773	-3386.884359790184	-3386.909873465246	1	0	1	0.47702033113680276
d1	100	18	-4002.4890350472824	-3614.350093419849	-3614.2476793735605	1	0	1	0.48207122513328626
d1	100	19	-3851.6751843359343	-3426.043085019756	-3425.9020546023694	1	0	1	0.41836465447539706
d1	100	20	-3968.210187050048	-3600.4451060384363	-3600.332557609199	1	0	1	0.4730692878278392
d1	100	21	-4005.1476345130036	-3540.117272520804	-3540.114325326938	1	0	1	0.45202900301914595
d1	100	22	-3995.6442503064045	-3606.5856106671176	-3606.5605241302696	1	0	1	0.4058674382998605
d1	100	23	-4103.537111488296	-3702.959711779928	-3702.929650577647	1	0	1	0.4687412947078944
d1	100	24	-3836.150382673487	-3364.2776291522387	-3364.272642202602	1	0	1	0.4466013771239758
d1	100	25	-3978.3049937258456	-3656.1260281651394	-3656.162314959928	1	0	1	0.36811591771355245
d1	100	26	-3956.961693794267	-3597.095242703586	-3597.11039057126	1	0	1	0.40299697259703027
d1	100	27	-3920.713789313718	-3439.3353673729202	-3438.0612463145735	1	0	1	0.4778286908922964
d1	100	28	-3976.1712295351945	-3489.701673970078	-3489.7088205168457	1	0	1	0.47250173324623596
d1	100	29	-3966.706150106777	-3434.0235129307084	-3434.0012704800642	1	0	1	0.4341375109349832
d1	100	30	-3876.554239731689	-3415.15257317036	-3397.413329076638	2	2	1	NA
d1	100	31	-3878.464300465673	-3467.011981050181	-3467.1537020545734	1	0	1	0.4633227936805011
d1	100	32	-4101.143163395719	-3664.0800650115852	-3664.061892229664	1	0	1	0.49026857595519613
d1	100	33	-3957.452465570499	-3487.100376084638	-3487.1013878633207	1	0	1	0.43680286612589514
d1	100	34	-3877.9857462293253	-3479.9060173446505	-3479.903184697825	1	0	1	0.4069586647283292
d1	100	35	-4016.859648687665	-3610.935632970313	-3610.9465622490975	1	0	1	0.47403595356980577
d1	100	36	-3752.5872498352023	-3456.612383310528	-3456.6299943235813	1	0	1	0.33705809701775546
d1	100	37	-3868.2159241600752	-3374.115220760421	-3374.1358340414577	1	0	1	0.494
d1	100	38	-3831.475341980573	-3290.3365727869073	-3290.332049895074	1	0	1	0.44919368561772605
d1	100	39	-4087.7273951135126	-3726.1600695114275	-3726.010726718854	1	0	1	0.42285248332553915
d1	100	40	-4161.068012706819	-3784.4063465610507	-3784.4351790395635	1	0	1	0.45269729517311563
d1	100	41	-3934.109345780971	-3433.4925078678725	-3433.4610193053136	1	0	1	0.4720585853204682
d1	100	42	-3989.265358672388	-3613.262124310581	-3613.2530513395104	1	0	1	0.4186195989816801
d1	100	43	-4146.103011071414	-3649.3754404725446	-3649.350229057009	1	0	1	0.4474750965825133
d1	100	44	-4117.1080882415945	-3712.7726671467526	-3701.0563408017297	2	0	1	0.4335944965044397
d1	100	45	-3995.2068645082813	-3683.2299610611326	-3683.0915985466336	1	0	1	0.4232625852423049
d1	100	46	-4094.161786024622	-3608.5296130376482	-3608.5273082881554	1	0	1	0.47296992776389224
d1	100	47	-4118.768132741228	-3755.824184333521	-3755.7692074160664	1	0	1	0.4736097619568457
d1	100	48	-3902.5588270493636	-3558.1541831480313	-3558.1138792116344	1	0	1	0.4168200031891006
d1	100	49	-3889.1029954891833	-3491.2251937311858	-3491.3239234372563	1	0	1	0.4937362795907917
d1	100	50	-3907.9554656708897	-3412.3620591964514	-3412.3691470193967	1	0	1	0.4652246919538443
d1	100	51	-4012.5242016054763	-3624.7899566618244	-3624.8721126537343	1	0	1	0.38812629178280417
d1	100	52	-4008.038827987825	-3418.478055950683	-3404.2945993107355	2	0	1	0.43124869064295485
d1	100	53	-3885.9807724072803	-3423.566135678227	-3423.53210764149	1	0	1	0.40324990072195754
d1	100	54	-3894.79001312362	-3460.9483381913333	-3454.0948960202913	2	0	1	0.4723279866564152
d1	100	55	-3833.9720249438137	-3473.9850046804477	-3473.9975512128035	1	0	1	0.4011285214889164
d1	100	56	-4080.785454737365	-3636.6111461185387	-3636.6338509441944	1	0	1	0.48378359110677827
d1	100	57	-3977.2287836575	-3588.600501478019	-3588.647878558392	1	0	1	0.4058866019901159
d1	100	58	-3767.021146008783	-3297.847931170109	-3297.848618516401	1	0	1	0.42170127986786643
d1	100	59	-3967.352559817318	-3568.9722623774724	-3564.8520829053036	2	0	1	0.46115010722717154
d1	100	60	-3898.022168604424	-3515.643888156326	-3515.648693572854	1	0	1	0.47654481804681426
d1	100	61	-3686.480384835731	-3302.9318947440447	-3302.935766449398	1	0	1	0.4810006844540147
d1	100	62	-3954.5681056894377	-3510.0349088136286	-3509.8584436386373	1	0	1	0.46963975353199294
d1	100	63	-3877.9417286296803	-3388.0579658927863	-3388.074943695016	1	0	1	0.48760094881946564
d1	100	64	-3890.7875271454227	-3406.1700581405444	-3406.1706470677004	1	0	1	0.4826199700449381
d1	100	65	-3887.0459523036266	-3499.5100204595983	-3499.515042313352	1	0	1	0.4441303125842905
d1	100	66	-4130.290274695321	-3700.127422759011	-3700.085546926895	1	0	1	0.46416710826236673
d1	100	67	-3884.039576379349	-3476.3610976455734	-3476.408362257482	1	0	1	0.43493107650276797
d1	100	68	-4038.549256571756	-3579.5751577527444	-3579.5743463834947	1	0	1	0.4628626518151253
d1	100	69	-3828.450112469194	-3328.9487523094595	-3328.9757893885235	1	0	1	0.42351928924238175
d1	100	70	-3898.306564574376	-3456.16575793687	-3455.7521471042132	1	0	1	0.45474128397757985
d1	100	71	-3826.5777343054297	-3327.7331733982987	-3327.683640325437	1	0	1	0.44362706368581906
d1	100	72	-4077.074303705215	-3549.133704493049	-3549.1335117281624	1	0	1	0.47669924336271396
d1	100	73	-4035.075112327967	-3616.1718501046394	-3616.1884680553967	1	0	1	0.44558293084249545
d1	100	74	-4194.587388175518	-3724.582260639396	-3724.5515503685097	1	0	1	0.5
d1	100	75	-4102.580338021388	-3660.890089484444	-3660.9621243372076	1	0	1	0.494
d1	100	76	-4043.627292521001	-3618.9911708624904	-3618.9952227163444	1	0	1	0.4522083368044916
d1	100	77	-4211.021319773857	-3807.7142712414234	-3807.7727939895485	1	0	1	0.48023288545477927
d1	100	78	-4016.3048762166513	-3520.134268972099	-3513.5261819098196	2	0	1	0.494
d1	100	79	-4122.223448904128	-3617.651071921613	-3617.6555847153	1	0	1	0.4907382481539738
d1	100	80	-3936.502617059293	-3634.6099750214307	-3634.635505451636	1	0	1	0.39974779279242556
d1	100	81	-4167.888302385872	-3769.8019959594044	-3767.1694166585607	2	0	1	0.4542113711751851
d1	100	82	-3966.1411076125632	-3617.1365193230504	-3617.1729711628304	1	0	1	0.48400059433467674
d1	100	83	-3891.467037045562	-3477.6442939970525	-3477.640338709272	1	0	1	0.4282782852782854
d1	100	84	-3861.485417078789	-3273.929521980442	-3273.9287958729738	1	0	1	0.47532627255401005
d1	100	85	-4007.5191982001675	-3562.4515091684098	-3562.414773994835	1	0	1	0.4209766594592024
