Diamond	nTrees	Replicate	Net0_lnL	Net1_lnL	Net2_lnL	best_h	RF_dist	HBS	gamma
d1	100	0	-4236.160660611968	-3876.52822649814	-3876.5279729663353	1	0	1	0.470265569300671
d1	100	1	-4025.48671503187	-3652.6235255170036	-3652.64945609691	1	0	1	0.41920167753478843
d1	100	2	-3899.954120112758	-3561.2406078495555	-3561.2880807164383	1	0	1	0.4476511286632201
d1	100	3	-4165.571093465027	-3718.9287749511846	-3718.9310649282015	1	0	1	0.494
d1	100	4	-3974.1735707603666	-3483.0239093510972	-3482.9970737043714	1	0	1	0.48706537764974295
d1	100	5	-4042.7761208592624	-3634.4747055737894	-3611.703414993883	2	2	1	NA
d1	100	6	-3836.8291174647734	-3334.6795810839562	-3334.699431685461	1	0	1	0.4803813778559798
d1	100	7	-3948.964547099593	-3541.0351903253572	-3541.0361373758524	1	0	1	0.46902019027838837
d1	100	8	-3868.8698658329354	-3233.891608174425	-3233.8873086164385	1	0	1	0.4866871468735535
d1	100	9	-4106.3012989224635	-3680.4826308914535	-3680.1749332964423	1	0	1	0.49317590549156565
d1	100	10	-3920.749366333141	-3666.2482034556488	-3666.2809033012686	1	0	1	0.45366652598869744
d1	100	11	-4020.2659510800618	-3569.684840537246	-3569.6857539942666	1	0	1	0.45637454620741125
d1	100	12	-4070.787531423579	-3719.1669369020533	-3719.1367556492673	1	0	1	0.4670693767658399
d1	100	13	-3952.944316569699	-3493.5733575256245	-3493.5962732118005	1	0	1	0.4271717047983417
d1	100	14	-3918.7949769028437	-3434.2072074823277	-3434.1887814105576	1	0	1	0.42733594965353605
d1	100	15	-3905.728692716875	-3397.490945361988	-3397.4760169717183	1	0	1	0.4224071046190134
d1	100	16	-3997.5006231879142	-3540.150060082783	-3540.1577813328627	1	0	1	0.4826050429289701
d1	100	17	-3962.5400657987498	-3417.2033121097293	-3417.2183035363782	1	0	1	0.46989736965459883
d1	100	18	-3958.7437714899365	-3584.7161462453505	-3584.74670769136	1	0	1	0.4772940395905064
d1	100	19	-3797.0320898346417	-3392.37164511639	-3384.425856618398	2	0	1	0.39906530026471776
d1	100	20	-3939.3354036033775	-3566.0065274460517	-3566.000302840319	1	0	1	0.48729580754763446
d1	100	21	-3953.853688225178	-3473.849890247836	-3462.8657334328036	2	0	1	0.45022589072006214
d1	100	22	-4003.63397690214	-3612.2392476749174	-3612.222488298707	1	0	1	0.40811567255003156
d1	100	23	-4067.4731432794674	-3672.7137136481515	-3672.8167010156985	1	0	1	0.46466374817929035
d1	100	24	-3811.0250169448996	-3389.201198015868	-3389.2082503321685	1	0	1	0.4498366679315103
d1	100	25	-3954.781872101606	-3658.165871818691	-3637.829561711243	2	0	1	0.36360786404784784
d1	100	26	-3902.238672054672	-3555.038680493022	-3555.123269670223	1	0	1	0.3948264040609911
d1	100	27	-3915.4514623895843	-3434.5217123838493	-3434.3820151546115	1	0	1	0.48491683515618045
d1	100	28	-3947.142700881801	-3432.6368966038926	-3421.480412088867	2	0	1	0.4702097291813581
d1	100	29	-3967.148618365757	-3451.722683328109	-3451.739976771684	1	0	1	0.43593283924418486
d1	100	30	-3884.071860864173	-3417.3091935304165	-3417.296655666182	1	0	1	0.42461273223220664
d1	100	31	-3909.904003952989	-3502.007598618386	-3502.1030047281365	1	0	1	0.46969695820182233
d1	100	32	-4064.3769077319575	-3616.2158992863006	-3616.167114569052	1	0	1	0.47533221017073135
d1	100	33	-3918.8631442641918	-3447.8171282456483	-3446.4656498184527	1	0	1	0.43825970705654027
d1	100	34	-3863.827552220681	-3444.8561230181713	-3444.8984770944985	1	0	1	0.4184626616597451
d1	100	35	-3986.2180386143978	-3585.882524177349	-3583.835472704672	2	0	1	0.46651475701311884
d1	100	36	-3749.199165562557	-3468.7127758646707	-3468.697669303203	1	0	1	0.3354683531440723
d1	100	37	-3880.656954916708	-3402.8645227825364	-3402.3705780746036	1	0	1	0.5
d1	100	38	-3778.9840432080573	-3252.426159943479	-3252.4329926305454	1	0	1	0.4590311156397364
d1	100	39	-4070.5738922535243	-3737.225708706748	-3737.272700249383	1	0	1	0.40121032857878175
d1	100	40	-4104.897085252009	-3741.362458102088	-3741.309677286149	1	0	1	0.4383241723475776
d1	100	41	-3880.7785683185066	-3368.0952742224717	-3357.792605526923	2	0	1	0.4697862822667298
d1	100	42	-3958.5808658893266	-3587.016145405065	-3579.243441176214	2	0	1	0.41795027942079355
d1	100	43	-4106.405214841961	-3624.0742925964023	-3626.9914636404483	1	0	1	0.4385386486301952
d1	100	44	-4087.7859574229788	-3695.5758410174903	-3693.965059060618	1	0	1	0.43549985224875465
d1	100	45	-3972.837496853745	-3679.4950063509286	-3679.42960548963	1	0	1	0.4371568348264712
d1	100	46	-4041.2176304646878	-3554.77249361845	-3554.783442906353	1	0	1	0.46937115226560755
d1	100	47	-4042.356680287052	-3672.975590604192	-3672.9867767777723	1	0	1	0.4804695297801528
d1	100	48	-3827.979244287183	-3467.314603806742	-3467.3767462530295	1	0	1	0.4177015782194195
d1	100	49	-3854.064796879938	-3466.690219508713	-3466.6577308536903	1	0	1	0.4907003618635032
d1	100	50	-3860.439551392563	-3358.401170092229	-3358.4802396772193	1	0	1	0.47299230310935547
d1	100	51	-3993.726285256376	-3611.9826762853613	-3612.00736036667	1	0	1	0.398904622145814
d1	100	52	-3983.6928643885267	-3396.8688929235095	-3396.8706997646746	1	0	1	0.43667209268172025
d1	100	53	-3847.1154695236737	-3390.6742650736423	-3390.670099575535	1	0	1	0.4050005927443756
d1	100	54	-3887.5071150822355	-3459.317590699951	-3459.286025900533	1	0	1	0.4759188004353386
d1	100	55	-3821.405345280204	-3467.152646682241	-3467.103914818955	1	0	1	0.39142151636925715
d1	100	56	-4041.96872710484	-3623.5830312087323	-3623.56145857744	1	0	1	0.4770947316944585
d1	100	57	-3898.0555444256474	-3508.8884768083053	-3508.8852034220154	1	0	1	0.4056107416661582
d1	100	58	-3743.1813198833083	-3267.3709123989606	-3264.7375165503727	2	0	1	0.4196711235088336
d1	100	59	-3951.3862365040836	-3570.1022828304035	-3570.080431494698	1	0	1	0.4618519577876583
d1	100	60	-3851.729147385491	-3473.458497293889	-3473.4604205978885	1	0	1	0.4886666693389628
d1	100	61	-3680.750176294779	-3354.0889700163966	-3354.50628312735	1	0	1	0.494
d1	100	62	-3952.9249549369315	-3552.676268126665	-3552.6373064879263	1	0	1	0.45598549711894354
d1	100	63	-3851.3858002869397	-3377.846265308642	-3377.83150192236	1	0	1	0.478864522218694
d1	100	64	-3866.759359075275	-3396.034287913699	-3396.020196021182	1	0	1	0.48502938017949965
d1	100	65	-3851.0731260717275	-3456.6800999425395	-3440.7688820553944	2	0	1	0.4522976867260504
d1	100	66	-4075.2745272284355	-3629.6571030136874	-3629.6465514467754	1	0	1	0.4697192352609667
d1	100	67	-3871.466661049935	-3442.7309430283135	-3442.7378121249353	1	0	1	0.4270335667187868
d1	100	68	-3966.744457884971	-3512.8564469698204	-3512.839165595021	1	0	1	0.45804210826181746
d1	100	69	-3807.9126650474514	-3311.7072049461444	-3311.713389955657	1	0	1	0.416682639944607
d1	100	70	-3873.2046577907245	-3469.4365590826233	-3469.434536909409	1	0	1	0.4452099836532054
d1	100	71	-3797.383483011865	-3332.688922557845	-3332.670664071363	1	0	1	0.43248234754209736
d1	100	72	-4069.426314820124	-3547.814821871989	-3547.8447599448345	1	0	1	0.4736363598647623
d1	100	73	-3956.934518066553	-3525.633111103103	-3525.6299126943536	1	0	1	0.4406831401674268
d1	100	74	-4153.8349658592315	-3683.97407516853	-3683.79904785025	1	0	1	0.494
d1	100	75	-4074.1016063545503	-3646.5741782559244	-3646.568261945946	1	0	1	0.494
d1	100	76	-4021.7049535928713	-3578.976342414181	-3579.0004497255513	1	0	1	0.44805044384279336
d1	100	77	-4162.429027621542	-3753.910738012769	-3753.8118800987177	1	0	1	0.4679831943726689
d1	100	78	-4002.6311387842	-3551.632593096601	-3551.648497531683	1	0	1	0.481107328757877
d1	100	79	-4089.2408008946813	-3609.3824861896633	-3609.4148551216213	1	0	1	0.48431410444244494
d1	100	80	-3901.1580518305595	-3582.5205732560967	-3582.483486143752	1	0	1	0.4060609059763399
d1	100	81	-4136.09440366052	-3736.1281108020853	-3732.3374412173034	2	0	1	0.4562888204043551
d1	100	82	-3957.5750454727327	-3624.4302713134953	-3624.4618332336527	1	0	1	0.5
d1	100	83	-3885.65067238887	-3475.95090264714	-3470.008280062264	2	2	1	NA
d1	100	84	-3818.2733608287513	-3248.4399754510046	-3248.4388496554775	1	0	1	0.4682603096501586
d1	100	85	-3993.405502680413	-3549.8925856405644	-3546.6037486099776	2	2	1	NA
d1	100	86	-3969.1841347397076	-3631.5853674808855	-3631.5829524656187	1	0	1	0.4240580274391711
d1	100	87	-4047.7050384257905	-3691.6336675290395	-3691.684058213783	1	0	1	0.4335416007972223
d1	100	88	-3843.3109459634516	-3261.1229258643766	-3261.127599903536	1	0	1	0.4834886489286234
d1	100	89	-3866.721349208865	-3409.6262882824867	-3409.631167499652	1	0	1	0.4562978835957554
d1	100	90	-3872.0915302637786	-3540.673050782828	-3540.7316601340713	1	0	1	0.494
d1	100	91	-3861.0859791121566	-3409.730463167057	-3409.7297110129293	1	0	1	0.5
d1	100	92	-3893.045480925641	-3435.4120250528804	-3424.9525840907563	2	0	1	0.4599921980107904
d1	100	93	-3948.047387335746	-3520.9010768641124	-3520.900962311138	1	0	1	0.4212870314052175
d1	100	94	-3649.8315309038535	-3326.0977914268346	-3326.119286393813	1	0	1	0.35063509919239166
d1	100	95	-3941.278345461121	-3620.450640773273	-3620.3858875365313	1	0	1	0.4200679496499571
d1	100	96	-3932.352573794744	-3506.5594383905795	-3491.7377191403802	2	0	1	0.4118374785450425
d1	100	97	-4014.295215983197	-3610.9488659119866	-3610.902854702148	1	0	1	0.4496382377264021
d1	100	98	-4085.373585329527	-3611.6475654700093	-3611.65169051853	1	0	1	0.48620349145827046
d1	100	99	-3869.363797885415	-3459.8342153466533	-3459.83494939229	1	0	1	0.4628159708266979
d1	500	0	-19948.203406321896	-17899.322921009083	-17899.19871788591	1	0	1	0.4857513813225116
d1	500	1	-19675.228914760242	-17473.145115578056	-17473.189377521307	1	0	1	0.4784895787576039
d1	500	2	-19558.06199870022	-17683.86317623433	-17683.998110000306	1	0	1	0.48708292988240676
d1	500	3	-19597.823861839785	-17493.43272511537	-17493.314397261358	1	0	1	0.46854662266949687
d1	500	4	-19818.982214678563	-17755.781980980977	-17756.024388679332	1	0	1	0.494
d1	500	5	-20137.035082741706	-18236.793902512276	-18236.784365894473	1	0	1	0.48640372023810224
d1	500	6	-19930.096803785134	-17768.708473827817	-17768.77123874401	1	0	1	0.47400396805906886
d1	500	7	-19888.971100494065	-17608.53498237086	-17608.410341264596	1	0	1	0.4752459633059979
d1	500	8	-20240.78998570031	-18260.031166972836	-18260.004594376333	1	0	1	0.4650270846418728
d1	500	9	-19782.090706549516	-17417.395713366714	-17417.530669418684	1	0	1	0.47363057614628234
d1	500	10	-19702.714407930125	-17681.20849196647	-17681.164040677948	1	0	1	0.5
d1	500	11	-19815.74340527625	-17709.518833701684	-17709.60456099774	1	0	1	0.43049414459616925
d1	500	12	-19948.44077884792	-17944.52475575667	-17944.566622938717	1	0	1	0.48657791583997856
d1	500	13	-19649.76712273508	-17620.825803704553	-17620.83626102404	1	0	1	0.43765867990938856
d1	500	14	-20241.666883238257	-18156.78689516	-18156.74912908157	1	0	1	0.49130230811361225
d1	500	15	-19702.343908128343	-17654.925866818074	-17654.946569245814	1	0	1	0.4891056136047566
d1	500	16	-20002.62017829906	-18074.34601372411	-18074.356841438523	1	0	1	0.49258913218366873
d1	500	17	-19574.911144370963	-17611.394475610683	-17611.42028164914	1	0	1	0.46636808639108096
d1	500	18	-19924.995228711574	-17867.094372733354	-17867.32057312124	1	0	1	0.4718252787813099
d1	500	19	-19982.160380030407	-17901.76152136944	-17901.759218713625	1	0	1	0.4866265565496753
d1	500	20	-20085.171738541332	-18021.316071175184	-18021.684893244776	1	0	1	0.4858749828429791
d1	500	21	-19537.49184779954	-17259.972110274903	-17259.87110491923	1	0	1	0.4745962295366941
d1	500	22	-19966.819642168637	-17894.093927997885	-17894.100211842757	1	0	1	0.494
d1	500	23	-19850.81039011447	-17440.233631196767	-17440.306265994383	1	0	1	0.46453593248459446
d1	500	24	-19967.303516310996	-17797.419501236524	-17797.475777330117	1	0	1	0.49086095574686567
d1	500	25	-19679.76692282993	-17482.747147612714	-17482.622590248033	1	0	1	0.5
d1	500	26	-19590.604234778017	-17720.71057800412	-17720.742696268797	1	0	1	0.46472782679288593
