Diamond	nTrees	Replicate	Net0_lnL	Net1_lnL	Net2_lnL	best_h	RF_dist	HBS	gamma
d1	100	0	-3607.044154529275	-3545.0275874852196	-3544.78350472566	1	4	0	NA
d1	100	1	-3432.6063956379307	-3321.4707558024993	-3321.539685290468	1	6	0	NA
d1	100	2	-3298.3548899816547	-3207.1378129791983	-3203.655739189749	2	6	0	NA
d1	100	3	-3558.935794478691	-3512.107173820329	-3509.3893119716568	2	0	1	0.3700562457326076
d1	100	4	-3621.9786340710043	-3590.8764467586934	-3587.350953350251	2	0	1	0.42556965271349334
d1	100	5	-3766.812076740333	-3712.540578458489	-3712.5278437104944	1	4	1	NA
d1	100	6	-3341.117840359953	-3302.8599990275666	-3293.583887974825	2	4	0	NA
d1	100	7	-3685.6606550084725	-3605.661953693633	-3605.6584534556027	1	4	0	NA
d1	100	8	-3598.8608013756607	-3598.860899508389	-3598.8607444293348	0	4	0	NA
d1	100	9	-3506.5944624224476	-3449.2322784400158	-3430.558041879429	2	6	0	NA
d1	100	10	-3417.315101587482	-3361.33981078117	-3364.3087020088474	1	4	1	NA
d1	100	11	-3867.9483450092316	-3833.4202983999035	-3813.1786981205596	2	4	0	NA
d1	100	12	-3596.792331075873	-3560.949962045965	-3560.9932093312686	1	4	0	NA
d1	100	13	-3770.634222751813	-3719.9654647303773	-3712.473352798782	2	4	1	NA
d1	100	14	-3618.071848771471	-3583.895915313024	-3583.840937677026	1	4	1	NA
d1	100	15	-3456.874721055288	-3375.3992616024752	-3376.08535043641	1	4	1	NA
d1	100	16	-3652.6585624158506	-3616.5911205153484	-3615.4459830676233	1	4	1	NA
d1	100	17	-3461.1404716527404	-3418.1905355447866	-3416.9420969995017	1	2	1	NA
d1	100	18	-3679.9859962390647	-3602.1657715409915	-3598.968738575025	2	4	0	NA
d1	100	19	-3715.1715207441807	-3662.878097046894	-3663.009624773196	1	4	0	NA
d1	100	20	-3688.275765280849	-3649.0844492021683	-3646.576462633627	2	4	1	NA
d1	100	21	-3628.1113165778193	-3540.76071807425	-3530.0484969069494	2	4	1	NA
d1	100	22	-3571.4173526387376	-3461.5267467438316	-3461.5676724111113	1	0	1	0.494
d1	100	23	-3902.6170291255958	-3832.3113905886094	-3832.290124827451	1	0	1	0.488315385287859
d1	100	24	-3744.8636797164904	-3718.6208394349997	-3717.5503011367487	1	4	1	NA
d1	100	25	-3720.007598987246	-3635.47436374023	-3629.958843985384	2	4	0	NA
d1	100	26	-3684.8341979937904	-3611.474865803937	-3611.3338118592633	1	0	1	0.4211662428126368
d1	100	27	-3770.7266804891956	-3727.191010911003	-3727.7079705623105	1	4	1	NA
d1	100	28	-3519.017384938288	-3471.3975092180613	-3472.1011107591253	1	2	1	NA
