Diamond	nTrees	xPos	FoundOneEdge	CorrectNetwork	HasHybridEdge
d1	100	0.7	100	95	98
d1	500	0.9	100	100	100
d1	1000	1.1	100	100	100
d1	5000	1.3	99	99	99
d2	100	1.7	100	77	86
d2	500	1.9	100	100	100
d2	1000	2.1	100	100	100
d2	5000	2.3	100	100	100
d3	100	2.7	100	94	95
d3	500	2.9	100	100	100
d3	1000	3.1	100	100	100
d3	5000	3.3	100	100	100
d4	100	3.7	100	92	95
d4	500	3.9	100	100	100
d4	1000	4.1	100	100	100
d4	5000	4.3	100	100	100
d5	100	4.7	99	89	93
d5	500	4.9	95	93	93
d5	1000	5.1	100	98	98
d5	5000	5.3	99	97	97
d6	100	5.7	100	73	94
d6	500	5.9	100	100	100
d6	1000	6.1	100	100	100
d6	5000	6.3	100	100	100
d7	100	6.7	100	93	96
d7	500	6.9	100	100	100
d7	1000	7.1	100	100	100
d7	5000	7.3	100	100	100
d8	100	7.7	100	94	96
d8	500	7.9	100	99	99
d8	1000	8.1	100	100	100
d8	5000	8.3	100	100	100
d9	100	8.7	100	33	63
d9	500	8.9	100	67	93
d9	1000	9.1	100	85	100
d9	5000	9.3	100	100	100
