Diamond	nTrees	Replicate	Net0_lnL	Net1_lnL	Net2_lnL	best_h	RF_dist	HBS	gamma
d1	100	0	220.8457027560067	65.84214998243765	65.8421499824353	1	0	1	0.46170001291713564
d1	100	1	350.2155587488349	92.144135270338	92.14413527018768	1	0	1	0.43637885218044825
d1	100	2	197.3454528888614	20.31633541120339	20.31593702473236	1	0	1	0.4734144904420197
d1	100	3	268.05527530564126	44.38015400994741	44.380154009412344	1	0	1	0.4507391029990569
d1	100	4	166.5009012485242	20.698235022110914	20.69823502168084	1	0	1	0.49153957292543693
d1	100	5	243.0860289376245	41.26790558540806	41.267905583114604	1	0	1	0.4606273054031099
d1	100	6	236.40042953366788	30.86101709027415	30.861017090171522	1	0	1	0.48528174622172215
d1	100	7	312.12956002141004	24.515028748776807	24.51502874589145	1	0	1	0.47095531701124405
d1	100	8	340.31633386574856	30.043037776419947	30.043037776396886	1	0	1	0.4826348080283542
d1	100	9	180.59985440892467	46.072829763955085	46.0728297619751	1	0	1	0.4942520679472261
d1	100	10	266.94248785070016	30.61529345903143	30.615292534193024	1	0	1	0.4595109979871625
d1	100	11	244.46307080088408	32.21063572975701	32.21036343838095	1	0	1	0.4761776485043958
d1	100	12	178.32254383508317	28.094056053883886	28.094056053867018	1	0	1	0.3550073515375374
d1	100	13	361.1350960810408	51.93789592817129	51.93789592813153	1	0	1	0.39861529136511425
d1	100	14	206.08877016562312	33.42827295594192	33.42826915637531	1	0	1	0.4079788455333464
d1	100	15	281.09528028207546	19.682841782150923	19.682841667965054	1	0	1	0.4498479380641233
d1	100	16	315.98268503928756	24.615870149615056	24.61587014759068	1	0	1	0.42339456531115643
d1	100	17	230.4792369631368	41.85933117101075	41.85933116901003	1	0	1	0.3985426917355344
d1	100	18	315.2321361829412	40.70684820899693	40.70683630081431	1	0	1	0.44502028043117403
d1	100	19	188.08401555456624	26.0054848078068	26.0054848077483	1	0	1	0.42844346569484804
d1	100	20	297.28228488215035	34.302852538480145	34.30285253837944	1	0	1	0.4071137820787817
d1	100	21	259.1549434042656	17.191357023389177	17.191356795313922	1	0	1	0.45297710080296283
d1	100	22	324.6843753620591	58.5671401040255	58.56714010401511	1	0	1	0.44099885863639343
d1	100	23	208.54890026407827	62.35102957929327	62.35102435712276	1	0	1	0.4721726031025506
d1	100	24	257.28343542997715	33.20747355021186	33.207473550198635	1	0	1	0.48094048830433933
d1	100	25	308.25579413597546	26.11598322013534	26.115983169434415	1	0	1	0.438659575968646
d1	100	26	282.7023529853687	15.97068057224888	15.97068047527596	1	0	1	0.4643023838296957
d1	100	27	273.1661337486261	39.349648466919206	39.34964845231987	1	0	1	0.4740856584395373
d1	100	28	268.6081053679744	21.229888726441747	21.229888722349024	1	0	1	0.4397111961684947
d1	100	29	265.8976031864285	64.05422163038725	64.0542216301597	1	0	1	0.4236196734585827
d1	100	30	201.1393907087919	36.079943600862705	36.07994359566959	1	0	1	0.3030107311524093
d1	100	31	166.05850966613235	19.569850527070088	19.56985052699191	1	0	1	0.4664876661516956
d1	100	32	230.2850570958238	47.25114631445919	47.25114631436069	1	0	1	0.43345170520324433
d1	100	33	298.44160684350777	56.78331861697929	56.78331858760324	1	0	1	0.4431434478992111
d1	100	34	197.6395002972058	52.18952596993343	52.189525822245336	1	0	1	0.48628598083162206
d1	100	35	225.05921891125274	43.313196055934114	43.313196055908406	1	0	1	0.46321257287527656
d1	100	36	181.39270347613132	54.15733958261083	54.157339577204134	1	0	1	0.4002102318985006
d1	100	37	289.01228210087686	25.566622788476487	25.566622788453373	1	0	1	0.4830075269480511
d1	100	38	422.9645048691819	35.18004723947141	35.180047239441976	1	0	1	0.4378432084450887
d1	100	39	287.80014059585693	60.80306436150246	60.803064316198686	1	0	1	0.4777096447626231
d1	100	40	222.35973270535928	22.334437880226986	22.334437880036802	1	0	1	0.47013656756338995
