Diamond	nTrees	Replicate	Net0_lnL	Net1_lnL	Net2_lnL	best_h	RF_dist	HBS	gamma
d1	100	0	324.92545106759087	52.426631868155695	52.426631868090034	1	0	1	0.4364874635872499
d1	100	1	284.1080588205226	34.06334758759123	34.063325193145914	1	0	1	0.4781129032136348
d1	100	2	310.35669632301125	30.898023673805547	30.898023673797496	1	0	1	0.4477700354141126
d1	100	3	233.77172676508025	45.42589269329133	45.42589269324933	1	0	1	0.4559412152319464
d1	100	4	211.17919105231258	51.58039948444693	51.58039948289665	1	0	1	0.3537287680734136
d1	100	5	260.4543857160836	56.83124017194068	56.83124017193499	1	0	1	0.4858001512751148
d1	100	6	222.61799971547183	50.975026835006055	50.97500960463858	1	4	0	NA
d1	100	7	257.4949345655505	28.040990227628075	28.040980082339143	1	0	1	0.4327223332890906
d1	100	8	48.62645514111092	18.637645229883407	18.637322433801057	1	0	1	0.2039514735046547
d1	100	9	186.57924360356793	56.63297165177701	56.63296990340079	1	0	1	0.3760438017015598
d1	100	10	213.02833131572964	39.42805919575425	39.42805919527106	1	0	1	0.36873708980712566
d1	100	11	180.74869073809504	32.67237084160857	32.672370761842004	1	0	1	0.42874993678474166
d1	100	12	274.3533018015502	63.83604347039738	63.83593541411069	1	0	1	0.34079990426522183
d1	100	13	211.75316310888869	32.125105209970584	32.12510520993342	1	0	1	0.3736409986103891
d1	100	14	194.04781708734944	61.542633748809045	61.542344290796876	1	0	1	0.3678030455812697
d1	100	15	245.77352947283435	19.525028637652202	19.52502863683096	1	0	1	0.4172590099955818
d1	100	16	167.08663071863853	38.8054568710457	38.80444951641324	1	0	1	0.34288784960217183
d1	100	17	203.64725855159972	25.850512894934937	25.850512894918246	1	0	1	0.40921160219210434
d1	100	18	308.21563850231473	28.69107247960406	28.69107247941058	1	0	1	0.46546829383481925
d1	100	19	131.65940357694458	16.511386794044473	16.51138679291811	1	0	1	0.3175697271923672
d1	100	20	178.78441949109796	37.63517298977699	37.635172989741605	1	0	1	0.4452556968299722
d1	100	21	244.19925345769153	43.935060456967	43.93506045695375	1	0	1	0.4805573759698135
d1	100	22	344.0706602314671	42.57156660532739	42.57156660435751	1	0	1	0.4990102017116762
d1	100	23	235.08929398093213	32.158028893995095	32.158028893968655	1	0	1	0.4556437454612393
d1	100	24	286.82335360465134	47.84047727384709	47.840477199085065	1	0	1	0.3717297448048276
d1	100	25	259.2243156882804	40.37393453975635	40.37392693990558	1	0	1	0.4890888740925508
d1	100	26	236.8284049653416	49.465475859283984	49.46547498158757	1	0	1	0.42672143911068
d1	100	27	406.8826672584128	51.00966076466652	51.00966076404858	1	0	1	0.45899944248618524
d1	100	28	190.05206203672572	22.25300281806586	22.252649041549002	1	0	1	0.38084226039813013
d1	100	29	208.78637903521349	36.55905876977295	36.55905876976757	1	0	1	0.4476089139522187
