Diamond	nTrees	Replicate	Net0_lnL	Net1_lnL	Net2_lnL	best_h	RF_dist	HBS	gamma
d1	100	0	339.5110920025935	47.168983908902604	47.16888247987683	1	0	1	0.43537230574090263
d1	100	1	274.55305949605366	18.214240864845156	18.214135663570268	1	0	1	0.451324046564213
d1	100	2	295.2336189954544	17.893591342920253	17.89359134289769	1	0	1	0.47689007496044034
d1	100	3	251.7229301534017	26.879178047901764	26.731357021132215	1	0	1	0.4675808871988282
d1	100	4	181.759483480429	34.41798406079847	34.41798406076901	1	0	1	0.32408697592079083
d1	100	5	271.1811040360187	51.8612642466179	51.86126092640388	1	6	0	NA
d1	100	6	202.80008392394726	44.1335558122141	44.13340037671892	1	0	1	0.49966142548700615
d1	100	7	304.12261800988347	18.798743034328773	18.79874303432863	1	0	1	0.43194561334144055
d1	100	8	51.75814706188795	21.38961052962444	21.38021951884888	1	2	1	NA
d1	100	9	235.69506872375274	47.0037606858194	47.00349563726442	1	0	1	0.4279382514064193
d1	100	10	195.66579582396372	25.248708643988465	25.248708643978723	1	0	1	0.39216236677389726
d1	100	11	200.07349973383512	38.86063927364092	38.86063927290791	1	0	1	0.3646292452972139
d1	100	12	275.0747898014456	75.4680246902129	75.46792956915306	1	0	1	0.32940384200621037
d1	100	13	237.08447554206606	28.715909586359906	28.715909586323328	1	0	1	0.41711939361594724
d1	100	14	192.92231239767884	44.272266716445564	44.27218839007587	1	0	1	0.4740899163464752
d1	100	15	233.33765616190465	22.83595063660715	22.835950636560874	1	0	1	0.42881073443125556
d1	100	16	195.56750412918265	25.244543768846835	25.244543768839126	1	0	1	0.47009726033736876
d1	100	17	220.4417635050161	26.442044690742282	26.442032214489718	1	0	1	0.4962604795907922
d1	100	18	328.33161878302514	11.616507260517853	11.61557457083083	1	0	1	0.45465256251783487
d1	100	19	147.90966593235012	10.63324807965451	10.633248079653104	1	0	1	0.3239457452465024
d1	100	20	147.81651322749406	23.57304337138992	23.573043371381704	1	0	1	0.46902510812769027
d1	100	21	235.62842815621215	37.48634455397066	37.48632423791435	1	0	1	0.43287714324458304
d1	100	22	325.3518493060715	24.345852265773672	24.345813623332536	1	0	1	0.40332781705676063
d1	100	23	231.78055540781443	35.17111698111141	35.171116981105406	1	0	1	0.4582931206389352
d1	100	24	243.8722629370456	38.35276842885375	38.352768428769316	1	0	1	0.35361612805928383
d1	100	25	264.86681120404364	22.774286052903406	22.774286046764917	1	0	1	0.49642265052041185
d1	100	26	227.6009212359658	35.67062695545123	35.67047227041325	1	0	1	0.45009857241692086
d1	100	27	393.8411562757576	29.98763442625708	29.987634426158714	1	0	1	0.4926875977253973
d1	100	28	197.3624464356994	24.953486598877614	24.95338460695696	1	0	1	0.36476011681405807
d1	100	29	226.5557100307228	26.05884188697614	26.05884188695713	1	4	1	NA
d1	100	30	222.2362678658972	19.220022162520262	19.220021470973023	1	0	1	0.4061799990588015
d1	100	31	193.57849835295778	15.61886326194589	15.618774942614149	1	4	0	NA
d1	100	32	276.02012504449243	30.74836784031785	30.748353371853533	1	0	1	0.46006103760646033
d1	100	33	182.2587339001349	19.891081648668205	19.89108164863597	1	0	1	0.36235288992249814
d1	100	34	234.95347829031164	24.762763086104105	24.762579400145423	1	0	1	0.4708627453710854
d1	100	35	237.3578888213618	27.518521064918293	27.51851978403718	1	0	1	0.4909586463244079
d1	100	36	298.6951195128345	46.51667733073701	46.51663378813244	1	0	1	0.4487388565912807
d1	100	37	173.2666049249592	21.823048552391846	21.823048546681502	1	0	1	0.47719911438933427
d1	100	38	146.05445728918855	26.439908279684946	26.43688999232789	1	0	1	0.4485372704532167
d1	100	39	161.25652061695627	14.259425423931894	14.259425419207266	1	0	1	0.44827033136912947
d1	100	40	220.1878456837853	30.53126515345921	30.531219167658087	1	0	1	0.4778109429255831
d1	100	41	308.8703894814303	25.828179571483922	25.828174268313763	1	0	1	0.40260698607545703
d1	100	42	122.26067303211333	32.920056398460524	32.919852183045016	1	0	1	0.3624372203913015
d1	100	43	160.17646897651179	8.219627813221399	8.21948907935452	1	0	1	0.45151268766480934
d1	100	44	263.10671728166926	42.56915809972253	42.56915175884077	1	0	1	0.42283784923132034
d1	100	45	272.5512636128595	60.40747687276572	60.407476872710824	1	0	1	0.4869831575007197
d1	100	46	150.99188422867252	25.486484980491348	25.486484974716625	1	0	1	0.33534394404923634
d1	100	47	249.38786852513977	31.78397449432411	31.78351958697716	1	0	1	0.3721516444476834
d1	100	48	271.6861238550176	14.328265407295653	14.328265405154799	1	0	1	0.47594631680093435
d1	100	49	285.4750909131447	25.093221480742237	25.093218441236537	1	0	1	0.46834070668401684
d1	100	50	224.15634718794598	47.141971383653605	47.14129656516434	1	0	1	0.41948501637893054
d1	100	51	257.4433976492126	30.327151937836316	30.3271519378011	1	0	1	0.4393378831520016
d1	100	52	52.69416012440327	13.526664915085302	13.526664914806231	1	0	1	0.1571032540125695
d1	100	53	330.808825133337	57.39012167440748	57.39012160547187	1	0	1	0.4728568510919867
d1	100	54	215.9192612566285	21.104976273184203	21.104976260938308	1	0	1	0.475794993975437
d1	100	55	232.70433842494145	45.73071790963355	43.77112170467509	1	0	1	0.43000731576563067
d1	100	56	225.60551806281651	26.65120783672587	26.651207836401138	1	0	1	0.41620440832851785
