Diamond	nTrees	Replicate	Net0_lnL	Net1_lnL	Net2_lnL	best_h	RF_dist	HBS	gamma
d1	100	0	339.511092002593	47.16902745751423	47.16888556543943	1	0	1	0.4353704115351301
d1	100	1	274.55305949605344	18.214176454105058	18.21412420656288	1	0	1	0.45130565163633846
d1	100	2	295.23361899545466	17.89359134266219	17.893591342655434	1	0	1	0.4768907919717178
d1	100	3	251.72293015340225	26.731320958638292	26.73118810625937	1	0	1	0.47127924527133247
d1	100	4	181.75948348042917	34.41798406090506	34.41798406076511	1	0	1	0.32408669869793366
d1	100	5	271.18110403601895	51.86126092618885	51.86126092617852	1	6	0	NA
d1	100	6	202.8000839239476	44.133381918934546	44.13338155907027	1	0	1	0.49967518426278856
d1	100	7	304.12261800988387	18.798754376416436	18.798743034306682	1	0	1	0.43194554645211236
d1	100	8	51.758147061887975	21.38309325563179	21.380158552732876	1	2	1	NA
d1	100	9	235.69506872375226	47.00349553364294	47.00349523232162	1	0	1	0.4279179419532606
d1	100	10	195.66579582396372	25.248708644727838	25.248708644580354	1	0	1	0.3921611363146156
d1	100	11	200.07349973383563	38.8606392729432	38.860639272924566	1	0	1	0.36462918734976474
d1	100	12	275.07478980144583	75.46793046676645	75.46793033431591	1	0	1	0.32938111485395916
d1	100	13	237.08447554206606	28.715909586635483	28.715909586559793	1	0	1	0.4171193476554051
d1	100	14	192.92231239767838	44.27247451816838	44.2721882913744	1	0	1	0.4738564351357165
d1	100	15	233.33765616190394	22.835950637759492	22.83595063712056	1	0	1	0.4288110066864262
d1	100	16	195.56750412918274	25.244543772872735	25.244543772731124	1	0	1	0.470112372202506
d1	100	17	220.44176350501584	26.44233358560405	26.44203218936538	1	0	1	0.4961906592082942
d1	100	18	328.33161878302536	11.615755889821974	11.615574570765945	1	0	1	0.45466617310145907
d1	100	19	147.90966593235012	10.63324808068153	10.633248080541504	1	0	1	0.32394522670821246
d1	100	20	147.8165132274939	23.5730438894779	23.573043375578635	1	0	1	0.4690077449043551
d1	100	21	235.62842815621272	37.48665694484872	37.4863237346692	1	0	1	0.43286154829398243
d1	100	22	325.3518493060709	24.346256277050784	24.34581515990986	1	0	1	0.40347803294380796
d1	100	23	231.78055540783902	35.1711169811529	35.1711169811522	1	0	1	0.4582933932598998
d1	100	24	243.87226293704575	38.352768428462305	38.35276842837907	1	0	1	0.3536169348813148
d1	100	25	264.86681120404313	22.774393959285124	22.774286182522996	1	0	1	0.49639604336641496
d1	100	26	227.60092123597525	35.670618555860656	35.67047309186617	1	0	1	0.4501144281957658
d1	100	27	393.84115627575886	29.987634427187636	29.987634426257905	1	0	1	0.49268754580595264
d1	100	28	197.36244643570018	24.953406219347404	24.953404906036614	1	0	1	0.3648514907923498
d1	100	29	226.5557100307225	26.058886024942183	26.05884349102867	1	4	1	NA
d1	100	30	222.23626786589728	19.220021436738747	19.220021436673335	1	0	1	0.4063303888066894
d1	100	31	193.57849835295815	15.618945092099331	15.618787902589553	1	4	0	NA
d1	100	32	276.02012504449203	30.748427358241333	30.74835347595741	1	0	1	0.46005635691312824
d1	100	33	182.25873390013456	19.891081652489017	19.891081649546585	1	0	1	0.3623497807274453
d1	100	34	234.95347829030783	24.762599950857826	24.76258392453802	1	0	1	0.4708547983505389
d1	100	35	237.3578888213618	27.51851977578854	27.518519771220426	1	0	1	0.49096441849859473
d1	100	36	298.69511951283494	46.51663378923522	46.51663378817228	1	0	1	0.44873446983246007
d1	100	37	173.2666049249593	21.823940222813484	21.8230485459646	1	0	1	0.4771046675356069
d1	100	38	146.0544572891892	26.437374360322384	26.436714503765185	1	0	1	0.44868064993193385
d1	100	39	161.2565206169563	14.259425552716545	14.259425552639586	1	0	1	0.44825462083848183
d1	100	40	220.18784568378513	30.532235530722318	30.53124542116675	1	0	1	0.4781862028350402
d1	100	41	308.87038948143027	25.828174206374833	25.82817420636692	1	0	1	0.4026069231656687
d1	100	42	122.26067303211322	32.922003920059204	32.919855821675775	1	0	1	0.36503816235192155
d1	100	43	160.17646897651179	8.219532910142465	8.219486737971959	1	0	1	0.45153988628032593
d1	100	44	263.10671728166875	42.56932816378931	42.56911191206984	1	0	1	0.422990729399734
d1	100	45	272.55126361287506	60.40747687238326	60.40747687230741	1	0	1	0.486983076141201
d1	100	46	150.99188422867257	25.486485035239195	25.486485024365074	1	0	1	0.3353379916800313
d1	100	47	249.3878685251399	31.784157248217078	31.78362823116044	1	0	1	0.3724126978500473
d1	100	48	271.68612385501734	14.328265419006344	14.328265403710887	1	0	1	0.4759537717655403
d1	100	49	285.47509091314487	25.093209741051528	25.093207716821613	1	0	1	0.4683239411315233
d1	100	50	224.15634718794888	47.1413777608111	47.1413074373977	1	0	1	0.4193252546928924
d1	100	51	257.4433976492117	30.327151937883148	30.32715193775805	1	0	1	0.4393373750681636
d1	100	52	52.69416012440328	13.527618844354617	13.526664929175856	1	0	1	0.1571027392883479
d1	100	53	330.80882513333705	57.709812497540284	57.3901216022592	1	0	1	0.47212368941318583
d1	100	54	215.91926125662837	21.10497626417811	21.104976260125845	1	0	1	0.4757900687953253
d1	100	55	232.70433842494387	43.77163863887334	43.77097796021652	1	0	1	0.4336924375770318
d1	100	56	225.60551806281615	26.651207837174972	26.65120783634154	1	0	1	0.4162036924709986
d1	100	57	115.43340026703262	11.011261477443385	11.011246206407733	1	0	1	0.443139023955775
d1	100	58	225.68236474081073	9.717230478203227	9.717230475829076	1	0	1	0.45705845427671404
d1	100	59	298.27203301349454	45.47036509004404	45.47019571542554	1	0	1	0.4899425663063368
d1	100	60	186.17092239481957	39.263388024801216	39.26338784968225	1	0	1	0.4950749122533865
d1	100	61	214.2325073788587	21.690180333564054	21.690180333407575	1	0	1	0.48092756579447
d1	100	62	155.84283012313557	26.047426421526122	26.04573992598822	1	0	1	0.44367942462167675
d1	100	63	225.59935600344033	34.15055959855129	34.15055959849259	1	0	1	0.39159316459243704
