Diamond	nTrees	Replicate	Net0_lnL	Net1_lnL	Net2_lnL	best_h	RF_dist	HBS	gamma
d1	100	0	-3953.611379358105	-3516.531075364082	-3516.53048362578	1	0	1	0.47329787143561214
d1	100	1	-3806.263331224384	-3299.802613376773	-3299.8084439184377	1	0	1	0.4288964859664127
d1	100	2	-3655.397036879613	-3162.647820742132	-3162.640259442303	1	0	1	0.45680633846981755
d1	100	3	-3881.3109856030997	-3320.802300255428	-3320.7974044412176	1	0	1	0.46979219729412336
d1	100	4	-3677.330681883242	-3023.9108207106656	-3023.9788873488424	1	0	1	0.5
d1	100	5	-3810.642088786696	-3214.709168931091	-3214.699678310409	1	0	1	0.494
d1	100	6	-3585.956081423727	-2977.207667805314	-2977.124281983701	1	0	1	0.494
d1	100	7	-3586.6950924360954	-3078.2502704161175	-3078.289163067643	1	0	1	0.48601955274721087
d1	100	8	-3508.939019319824	-2750.424836249286	-2750.411832621404	1	0	1	0.5
d1	100	9	-3795.0049419309003	-3272.401240723507	-3272.38699694861	1	0	1	0.49098162658452926
d1	100	10	-3705.004977835609	-3318.908272903625	-3319.0343850372237	1	0	1	0.4867467269035898
d1	100	11	-3754.8703298321816	-3136.911148883344	-3128.5925380334265	2	0	1	0.47959186148110844
d1	100	12	-3758.6162571877194	-3227.8277518967834	-3225.999177896769	1	0	1	0.5
d1	100	13	-3694.643328818504	-3023.242777402026	-3022.2616174521095	1	0	1	0.4544632005126946
d1	100	14	-3576.2987520125703	-2947.053430343152	-2946.565500360519	1	0	1	0.4459145928686323
d1	100	15	-3605.1892352407554	-2991.4111814745893	-2991.4102242479594	1	0	1	0.4322607893018874
d1	100	16	-3714.9333489204996	-3063.1527560702907	-3057.840482984116	2	0	1	0.46005955003188836
d1	100	17	-3629.7981241397574	-2990.0386322313443	-2990.090587142507	1	0	1	0.4675677191660407
d1	100	18	-3655.8551573643203	-3124.5465726912666	-3124.5316434565284	1	0	1	0.47221157991907803
d1	100	19	-3591.8662068957387	-2992.425900823168	-2992.4745591880173	1	0	1	0.4486204573935083
d1	100	20	-3652.7121726196942	-3149.8689343218193	-3149.831480509805	1	0	1	0.4820973326440746
d1	100	21	-3736.146998950687	-3114.681381354822	-3114.671370760953	1	0	1	0.4453141705801362
d1	100	22	-3708.6897360611733	-3148.1126505184197	-3148.078357371161	1	0	1	0.47245745312896464
d1	100	23	-3770.915900526243	-3300.558465255951	-3291.961051478322	2	0	1	0.44264081320294746
d1	100	24	-3539.694072928045	-3041.6646505678423	-3041.666632173691	1	0	1	0.44674518267960434
d1	100	25	-3698.2990797003836	-3195.791655168801	-3171.239607532286	2	0	1	0.4255437651552856
d1	100	26	-3661.941602575391	-3121.351798256226	-3121.3775773405278	1	0	1	0.43159326623023475
d1	100	27	-3549.9076176286258	-2955.8793477615836	-2955.877327929802	1	0	1	0.48286788789737656
d1	100	28	-3647.20849727409	-3016.199480019586	-3016.233758453571	1	0	1	0.461785401269171
d1	100	29	-3666.7056642524817	-3072.769505507597	-3072.5324592147444	1	0	1	0.41190337517712766
d1	100	30	-3572.8898170985462	-2995.607776344519	-2995.6302190821207	1	0	1	0.4399627334951368
d1	100	31	-3547.351409608108	-3001.1549232557772	-3001.2553183278433	1	0	1	0.4895091170190808
d1	100	32	-3755.861467504938	-3284.2398970130134	-3280.515352547803	2	0	1	0.4397115797124662
d1	100	33	-3631.5993839902853	-3106.9361638663545	-3107.0186630695734	1	0	1	0.4472572011970437
d1	100	34	-3538.327591688736	-2952.0566086170797	-2951.9893000036654	1	0	1	0.46836020437008796
d1	100	35	-3714.1973094738973	-3208.171559887892	-3208.1843002840997	1	0	1	0.471990152860882
d1	100	36	-3398.9100981975803	-3056.5609391328794	-3056.560166531643	1	0	1	0.33622622346641184
d1	100	37	-3549.552617944026	-2959.7836595275935	-2959.795929129316	1	0	1	0.494
d1	100	38	-3613.56375060869	-2931.2022736761974	-2931.2044144218085	1	0	1	0.4675964655538223
d1	100	39	-3913.546286195466	-3342.475891813441	-3342.823716606986	1	0	1	0.45775197365355863
d1	100	40	-3888.1785238450316	-3411.831518046061	-3411.8548930269603	1	0	1	0.45863297390044944
d1	100	41	-3486.570300578164	-2875.8716007788303	-2875.8446352469214	1	0	1	0.45604275829063134
d1	100	42	-3687.4693481985923	-3198.2237875824485	-3198.229760175215	1	0	1	0.39515425721741826
d1	100	43	-3863.3677666241397	-3285.6674114754046	-3282.9523488837735	2	0	1	0.453832341020766
d1	100	44	-3830.58039404573	-3370.448624892117	-3370.4311249201273	1	0	1	0.4241202240398294
d1	100	45	-3733.9584364961233	-3321.964222256058	-3321.9643037712376	1	0	1	0.41095704903038976
d1	100	46	-3718.592210301756	-3140.630235617479	-3140.632049659189	1	0	1	0.4858719472899359
d1	100	47	-3830.8877074591114	-3312.5655749939942	-3312.5618309467072	1	0	1	0.4773156054416502
d1	100	48	-3543.2432854533017	-3110.601441913989	-3110.605688505802	1	0	1	0.3857238249965973
d1	100	49	-3649.768124390132	-3114.9655517192336	-3114.9576263124327	1	0	1	0.4835650588078202
d1	100	50	-3671.9105138249174	-3043.4498255305866	-3043.522768775604	1	0	1	0.4891464911789404
d1	100	51	-3663.8683129634655	-3109.1537924101503	-3100.984495328972	2	0	1	0.4495021680555677
d1	100	52	-3669.885161678685	-3037.352316515097	-3037.347054957582	1	0	1	0.42544197396638894
d1	100	53	-3621.729159410384	-3076.1286879239874	-3076.1381652838772	1	0	1	0.42396526796742073
d1	100	54	-3628.5884632408383	-3098.9204183701086	-3095.759250099157	2	0	1	0.4846487356536003
d1	100	55	-3569.8732727714983	-3062.8858218179334	-3062.863931165706	1	0	1	0.43624701021303725
d1	100	56	-3766.6083764539476	-3184.8257296009415	-3184.8589099819155	1	0	1	0.4904764522862306
d1	100	57	-3528.398050022445	-2998.3447672914785	-2998.3969422940863	1	0	1	0.3680064552864385
d1	100	58	-3455.079748119701	-2814.310009189603	-2807.822170906127	2	0	1	0.4679195123258749
d1	100	59	-3705.143899833915	-3199.2074957372465	-3199.2128003837533	1	0	1	0.4745724415193472
d1	100	60	-3563.184024364325	-3093.373287817696	-3093.3827490167682	1	0	1	0.4567829219197872
d1	100	61	-3430.507923369948	-2919.838462441561	-2918.317365059619	1	0	1	0.468356009042241
d1	100	62	-3676.510128884788	-3095.8459260425593	-3095.8366817340593	1	0	1	0.47504053734982443
d1	100	63	-3542.248898078138	-2907.43168419126	-2895.098895424104	2	0	1	0.47707274405354316
d1	100	64	-3540.3983068653124	-2997.1234234941644	-2995.145418344539	1	0	1	0.4666345228411836
d1	100	65	-3630.2569920251503	-3174.198745233936	-3174.1938413827484	1	0	1	0.465436546886408
d1	100	66	-3769.3667028686286	-3266.9513188989463	-3266.9500656790697	1	0	1	0.4462256310412035
