Diamond	nTrees	Replicate	Net0_lnL	Net1_lnL	Net2_lnL	best_h	RF_dist	HBS	gamma
d1	100	0	168.85619131284852	51.7999116332793	51.7999116332784	1	0	1	0.4809278981623891
d1	100	1	322.9137836379609	68.20866830913334	68.20866830871391	1	0	1	0.43050938858422894
d1	100	2	134.0432518369021	33.952659775728534	33.95263353148384	1	0	1	0.415337796296458
d1	100	3	330.2115513463838	63.32956821211565	63.32956821210303	1	0	1	0.495544394141338
d1	100	4	142.56054036159276	31.441969678792937	31.441969678787007	1	4	1	NA
d1	100	5	254.69214860648637	30.729602144807664	30.729602142329526	1	0	1	0.48744479058420664
d1	100	6	187.8647168050926	41.69889541709556	41.69889541578088	1	0	1	0.4802793709225149
d1	100	7	305.54633750881635	30.272982323193467	30.27298232278338	1	0	1	0.4970058263853605
d1	100	8	267.9207913453182	40.921885001432784	40.921885001407304	1	0	1	0.47099347500039745
d1	100	9	215.29646786499126	48.40173489725805	48.40173396627243	1	0	1	0.44899430598818807
d1	100	10	216.7214680273226	42.404885814776584	42.40488581475941	1	0	1	0.44035474548384473
d1	100	11	180.8075980223618	33.80419126105855	33.804191261054655	1	0	1	0.45225651498840524
d1	100	12	223.1087308429607	51.519655340650516	51.51965534026786	1	0	1	0.3687790124122408
d1	100	13	265.74073891345	25.894589033931513	25.89458103979287	1	0	1	0.37224222836019555
d1	100	14	151.87196967950536	41.834946086995785	41.83494608684556	1	0	1	0.3576031913320678
d1	100	15	289.62586066078256	22.580244064208813	22.58024406420177	1	0	1	0.49345551769613505
d1	100	16	366.2692460432656	32.638025588599874	32.638025588162215	1	0	1	0.45621481849420803
d1	100	17	158.11593367865277	37.45464234976417	37.45464234555661	1	0	1	0.4739316174369183
d1	100	18	293.3091088335523	57.71891753376613	57.7189175337285	1	0	1	0.4967690348413085
d1	100	19	177.80187751303677	37.1339272713425	37.133924799576505	1	0	1	0.4185829449168437
d1	100	20	217.343477814414	36.15507494265163	36.15507494262919	1	0	1	0.4512118761371385
d1	100	21	209.97954198040821	29.704162874907187	29.704162874895292	1	0	1	0.4140877001520402
d1	100	22	294.55408512831997	41.73341459472197	41.73341459470121	1	0	1	0.44550261152218223
d1	100	23	202.28085868266527	50.38599747649224	50.38599747637114	1	2	1	NA
d1	100	24	313.1611221010857	38.223126033363634	38.22312603335233	1	0	1	0.46122490222726553
d1	100	25	191.56110284200892	16.395177983139682	16.395177983132616	1	0	1	0.44555006908133366
d1	100	26	229.54858227626372	31.312925611097658	31.312925611071194	1	0	1	0.45865777005302394
d1	100	27	281.52374095976677	39.322770384924276	39.322764245259634	1	0	1	0.4978881941776198
d1	100	28	200.25362766678694	35.327515293737946	35.32734057642385	1	0	1	0.48910536762989
d1	100	29	250.2515189756293	54.41421902621219	54.41421902620984	1	0	1	0.44444183227731693
d1	100	30	203.3533427283698	33.17825977463778	33.17825977457962	1	0	1	0.3078788299588182
d1	100	31	144.10214513075053	19.403656403177497	19.403656403096853	1	0	1	0.44979965528618326
d1	100	32	225.7435147102301	40.72906006293349	40.72906006292278	1	0	1	0.43011698387591946
d1	100	33	304.01627391265373	78.62599424357688	78.62599424349426	1	0	1	0.4129584463308553
d1	100	34	202.27734879969333	45.817374025542634	45.81737402258756	1	0	1	0.4644551875469219
d1	100	35	186.8662491089705	43.32748934767894	43.32748934767548	1	0	1	0.4201780972601451
d1	100	36	158.90966811685544	46.98569303364952	46.98569303363644	1	0	1	0.38895737972226374
d1	100	37	257.86177962828447	27.435064270465467	27.435064270215854	1	0	1	0.46255699594009914
d1	100	38	393.2569439815266	41.28331840133947	41.28331840132164	1	0	1	0.4339493436005308
d1	100	39	186.2620895709867	39.55602061799085	39.55602061797238	1	0	1	0.3373776464124592
d1	100	40	211.6325927749614	28.724386996422727	28.724309196143842	1	0	1	0.46796252036868713
d1	100	41	151.00404455991796	14.660959201369955	14.66090577353715	1	0	1	0.39147841761418317
d1	100	42	257.84172958744904	33.913374448169535	33.913374448161996	1	0	1	0.4552497090193013
d1	100	43	260.7886679081407	48.09238675172475	48.09238675120555	1	0	1	0.43199377835574954
d1	100	44	286.7743986872761	22.234138561245803	22.234138561203235	1	0	1	0.4375414628907696
d1	100	45	260.37105512595986	49.31734932358221	49.317349317726716	1	0	1	0.4396822971116338
d1	100	46	211.18235323968267	42.82242829581028	42.822397240767806	1	2	1	NA
d1	100	47	178.0918445368708	45.15519089802258	45.15519089801713	1	0	1	0.4804554294497005
d1	100	48	229.37269284088984	38.435275114528636	38.43527511450915	1	0	1	0.380036626807022
d1	100	49	197.70718113931372	23.08775316897505	23.08775316603015	1	0	1	0.48376657494542974
d1	100	50	272.2067053965753	40.46302585201443	40.46302585200539	1	0	1	0.4262268411093018
d1	100	51	288.7493466161824	19.241508598838955	19.241508598638116	1	0	1	0.4411041874029265
d1	100	52	316.4698853607068	50.53849890725538	50.53849890724623	1	0	1	0.49470162144602403
d1	100	53	268.68123995479874	26.387623307989177	26.387623307975446	1	0	1	0.47481677318956683
d1	100	54	117.19742392998505	18.97805960211884	18.978059602114943	1	0	1	0.34748172536390826
d1	100	55	125.31317430716364	43.88041211216315	43.880412072559764	1	0	1	0.37631204227464576
d1	100	56	274.3605811348156	39.03831282004781	39.03831281158376	1	0	1	0.4357209827218176
d1	100	57	164.03362114777792	23.390526274704534	23.390418733605692	1	0	1	0.2976977813415419
d1	100	58	229.8207616550464	41.60464169042649	41.6046416902164	1	0	1	0.38996200362485
d1	100	59	217.85204079545332	34.2898261232932	34.28982612325503	1	0	1	0.45336760791480407
d1	100	60	252.03111512406727	25.61598494589244	25.615980903505584	1	0	1	0.4782765027728408
d1	100	61	209.5182372143392	45.84453400297011	45.8445340029629	1	0	1	0.4002359019200043
d1	100	62	131.47805731372898	22.431942204727196	22.43194220460081	1	0	1	0.426323809414612
d1	100	63	207.9634654365642	37.32976595678777	37.32976595608912	1	0	1	0.48586062283016035
d1	100	64	110.87854676980874	24.489391098437082	24.48939109834377	1	0	1	0.4038088448923078
d1	100	65	220.9583689824492	35.69921422902101	35.699214228903685	1	0	1	0.4347799943351769
d1	100	66	302.4168484997449	46.56580805376711	46.56580805374809	1	0	1	0.46554650648039697
d1	100	67	239.60675851713646	52.397188574962634	52.397188574927036	1	0	1	0.4832683458733088
d1	100	68	282.55618750769287	34.005119359164034	34.005119359156375	1	0	1	0.456425195041254
