Diamond	nTrees	Replicate	Net0_lnL	Net1_lnL	Net2_lnL	best_h	RF_dist	HBS	gamma
d1	100	0	203.11941595929105	51.63194114989341	51.63194114574177	1	0	1	0.44536688921993284
d1	100	1	364.90819269666804	78.46108291746258	78.46108291703337	1	0	1	0.4511094885072703
d1	100	2	204.3983073328406	31.35322981840359	31.353068095124726	1	0	1	0.4744537616824123
d1	100	3	338.5757217223783	62.72484407891156	62.724844070897774	1	0	1	0.4701321701618758
d1	100	4	170.88212661497636	24.142810078734826	24.142810075655532	1	0	1	0.4905840882165795
d1	100	5	263.49527463276524	37.23353312424578	37.23353308483759	1	0	1	0.49120253025774474
d1	100	6	229.1634749303912	36.664556379726754	36.664556379722136	1	0	1	0.46925169683882517
d1	100	7	311.63002359387133	29.69963522236448	29.699635221747286	1	0	1	0.4712983521409924
d1	100	8	346.1401806879306	24.04467022276702	24.04467022259154	1	0	1	0.4788713387612286
d1	100	9	196.48363968622058	41.945726865015644	41.945726865014116	1	0	1	0.48027946310387754
d1	100	10	261.9476458781114	26.55771212578804	0.0	2	0	1	0.4545853948863333
d1	100	11	272.97625552546447	38.105996055063024	38.1059960550528	1	0	1	0.45491840139482104
d1	100	12	244.22514061606722	27.99277724485825	27.992777244852864	1	0	1	0.386557726411752
d1	100	13	371.7941910428156	44.303618534567285	44.303618534431266	1	0	1	0.4061973145014175
d1	100	14	200.6736232965625	41.23687637797825	41.23681202629928	1	0	1	0.4016315625793988
d1	100	15	310.4720028579466	18.085560949545737	18.085560949512704	1	0	1	0.4586197828193256
d1	100	16	369.4151121963446	37.23538073335596	37.2353807333264	1	0	1	0.4459276244724775
d1	100	17	230.98729647674207	41.73170931964089	41.731709319332005	1	0	1	0.38948288892570915
d1	100	18	364.54344095925285	51.756112205040814	51.756100305862454	1	0	1	0.45013709890804077
d1	100	19	204.51336255723456	34.27050980760693	34.270509807604135	1	0	1	0.3988979201961105
d1	100	20	288.04907088932856	27.831868239853698	27.831868185777463	1	0	1	0.4616164460075995
d1	100	21	298.6645813412807	17.772416289980413	17.772413013127583	1	0	1	0.4353424800685896
d1	100	22	362.68660454582897	50.64989996828913	50.64989996772781	1	0	1	0.4417181043619825
d1	100	23	210.73642726430572	54.760087842990266	54.76008784298611	1	0	1	0.4874656477129533
d1	100	24	312.629731228951	36.77198164198925	36.77198164197845	1	0	1	0.4542203114992145
d1	100	25	319.850295870303	17.1125841294014	17.112584129349585	1	0	1	0.4345183936498819
d1	100	26	267.67459176103705	16.362607581004195	16.362607511155343	1	0	1	0.4730714211468358
d1	100	27	325.89173091764263	46.876428907950775	46.87642890790361	1	0	1	0.47970427883904715
d1	100	28	269.0764211066393	23.134154840029293	23.13415483998244	1	0	1	0.4952257372116425
d1	100	29	280.27992092344806	70.61300211108117	70.61300211100298	1	0	1	0.4136583925483377
d1	100	30	246.37869974943345	40.17720059857407	40.17720059328292	1	0	1	0.30283328182261515
d1	100	31	174.79004759592456	15.955241786581052	15.955241393448292	1	0	1	0.44745183399297084
d1	100	32	292.72785999492146	42.910450213038395	42.91045021301823	1	0	1	0.4218648918873661
d1	100	33	317.3377427072234	53.864150771239146	53.86415077122542	1	0	1	0.4602990090141444
d1	100	34	229.26842961052805	49.26755351809697	49.267085226379635	1	0	1	0.4462709213549631
d1	100	35	231.964485567136	31.743242948225998	31.743242948224648	1	0	1	0.48299525585201236
d1	100	36	206.53570001980046	64.8450328130072	64.84503280222944	1	0	1	0.3812737580111099
d1	100	37	301.3552165988759	39.33761844669526	39.33761840358758	1	0	1	0.4856115257467513
d1	100	38	478.9430419709512	43.32328288197006	43.32328288196555	1	0	1	0.4292622496604193
d1	100	39	282.7180687871958	46.796129426989175	46.79612942698567	1	0	1	0.41811424569413985
d1	100	40	233.44786991239548	27.013207035041624	27.013206937278486	1	0	1	0.4490029220459544
d1	100	41	169.35533718847682	14.6034659691722	14.603425394060285	1	0	1	0.46937889138037
d1	100	42	308.00320110795803	28.151324873833122	28.15125733400788	1	0	1	0.4318405601647469
d1	100	43	331.9622258708745	50.215569768566944	50.21556976854647	1	0	1	0.46365433181982346
d1	100	44	312.0585951854832	24.80623620104136	24.806236201017096	1	0	1	0.4381999588142483
d1	100	45	282.47578819816414	40.40429437362414	40.404289662084096	1	0	1	0.4329355347827094
d1	100	46	191.43918389028363	43.437354352358106	43.43735431945504	1	0	1	0.4025628644804627
d1	100	47	235.54337050806606	53.1010698271345	53.10102024953451	1	0	1	0.4817034976128726
d1	100	48	241.03688695547734	32.3665399997845	32.366539999779725	1	0	1	0.37944351095545953
d1	100	49	200.79111845045998	36.270757626944636	35.955401850642986	1	0	1	0.4808209543771703
d1	100	50	235.5379757387836	37.51900304762566	37.51900304677472	1	0	1	0.4984808352651432
d1	100	51	380.62359896225405	14.672744139672467	14.672743701119625	1	0	1	0.48424068741694587
d1	100	52	372.09532455013175	41.414850468328154	41.414850468243806	1	0	1	0.4682086235366075
d1	100	53	285.68886100142646	40.212024363403415	40.2120243083146	1	0	1	0.4296167000897453
d1	100	54	134.36750215649386	31.037630613093075	31.03763061308798	1	0	1	0.4126038221752594
d1	100	55	136.004397545153	18.546045332003526	18.546044710656744	1	0	1	0.45450740921476973
d1	100	56	310.5357772209393	26.777803935957763	26.777803935953326	1	0	1	0.428512891054838
d1	100	57	246.8174753292684	35.30413831053759	35.30413831053467	1	0	1	0.3884791622004145
d1	100	58	267.28195852286393	21.000410133602692	21.000410133585863	1	0	1	0.4281677091009379
d1	100	59	273.31848147827867	34.426696866268195	34.426696866213646	1	0	1	0.4737787278864852
d1	100	60	277.9278843192242	29.512282926081912	29.512223234013316	1	0	1	0.4907857227425827
d1	100	61	286.7790641960788	40.2578010279898	40.257800998597794	1	0	1	0.43686788604429216
d1	100	62	162.10748835362745	23.2864793994952	23.286479392929763	1	0	1	0.4484587297093552
d1	100	63	305.22042976856034	44.86422470276818	44.86422470270939	1	4	1	NA
d1	100	64	135.09680915825277	41.088415340168225	41.08832529126084	1	0	1	0.39199883545955194
d1	100	65	292.2884992476403	43.76660094004675	43.76660093976675	1	0	1	0.4595463779116064
d1	100	66	437.22040468551455	51.815149232487	51.81514923248065	1	0	1	0.4773067580083151
d1	100	67	303.51178563754087	37.8599171794935	37.85991508601487	1	0	1	0.42895510790477276
d1	100	68	290.3028819870786	34.80781853048799	34.80781853027222	1	0	1	0.4473644259699276
d1	100	69	293.5136262445071	45.13636154226404	45.136361542257724	1	0	1	0.42780739387338884
d1	100	70	207.64595127934183	54.38709043768892	54.38709041021313	1	0	1	0.44162323351865007
d1	100	71	212.8359736666324	24.826079090342304	24.82607904173179	1	0	1	0.45520334844556837
d1	100	72	268.6564862644026	63.0788262913904	63.07882437560004	1	0	1	0.4579200410521579
d1	100	73	207.23951324283527	20.16858910720836	20.1685788550524	1	0	1	0.49718942479034633
d1	100	74	290.24238754967087	46.380912717175484	46.38090008278276	1	0	1	0.49980218333572624
d1	100	75	259.1017110748101	44.3386962648304	44.338695780516815	1	0	1	0.48645037292315263
d1	100	76	209.58028309027918	16.505714023783703	16.505714005774887	1	0	1	0.4324596405960327
d1	100	77	368.1510056764165	63.55910936127248	63.559100114896744	1	0	1	0.42156285393446624
d1	100	78	242.42168175344398	74.29102537073064	74.29102537063699	1	0	1	0.4796516250746674
d1	100	79	242.03441766266852	29.892183870330612	29.8921838702895	1	0	1	0.44249660838095817
d1	100	80	210.65865135785526	45.08887999542971	45.0888745028715	1	0	1	0.3589603328192567
d1	100	81	184.88285829685344	38.165791458623026	38.165785893611975	1	0	1	0.42558495465896323
d1	100	82	303.1232075380094	16.47307612113775	16.473055900296288	1	0	1	0.4343511517316221
d1	100	83	264.1960181265876	36.8692635118472	36.86926351113988	1	0	1	0.4446560818978335
d1	100	84	344.6281802714354	24.746065322196646	24.74605687452454	1	0	1	0.4860367328325783
d1	100	85	297.6801553692894	54.10824394667955	54.1082379359965	1	0	1	0.4692058218733495
d1	100	86	248.27268884109233	50.74324038327173	50.74314853389301	1	0	1	0.3747115721349684
d1	100	87	259.5356121169764	18.781742130678207	18.781735312472907	1	0	1	0.4871676422132047
d1	100	88	304.3982128788449	39.56030284830315	39.560302848244845	1	0	1	0.4650127295925056
d1	100	89	207.33862677865832	55.483893401087755	55.48383973963479	1	0	1	0.4626854038665609
d1	100	90	270.3774644496809	14.11671993730379	14.116719937272087	1	0	1	0.4683902025555775
d1	100	91	364.6304117177873	52.601658810124206	52.60165881011469	1	0	1	0.4329595977285211
