Diamond	nTrees	Replicate	Net0_lnL	Net1_lnL	Net2_lnL	best_h	RF_dist	HBS	gamma
d1	100	0	203.11941595927595	51.63194085616821	51.6319408425747	1	0	1	0.44536519612349845
d1	100	1	364.9081926966559	78.46108291828045	78.46108291675121	1	0	1	0.4511098083974148
d1	100	2	204.39830733285206	31.35306959862615	31.35306816765572	1	0	1	0.47445215647229827
d1	100	3	338.57572172228487	62.72484407246849	62.72484407085674	1	0	1	0.47013205286315646
d1	100	4	170.88212661495962	24.14333272966076	24.142810078684356	1	0	1	0.49072078826955956
d1	100	5	263.49527463266844	37.233532592161154	37.2335324760235	1	0	1	0.49120381880046
d1	100	6	229.16347493037807	36.664556379672504	36.66455637966809	1	0	1	0.4692517581147767
d1	100	7	311.6300235938207	29.699635490242606	29.699634360920946	1	0	1	0.4712973606919943
d1	100	8	346.14018068787846	24.04467022254412	24.044670222542234	1	0	1	0.47887130204099676
d1	100	9	196.48363968618224	41.945726952246154	41.94572686640583	1	0	1	0.4802794030125278
d1	100	10	261.9476458781104	26.557713383491507	26.557713380890036	1	0	1	0.4545873703594804
d1	100	11	272.976255525475	38.10599605509043	38.105996055083	1	0	1	0.4549183693651945
d1	100	12	244.22514061606722	27.992777244878408	27.992777244813094	1	0	1	0.3865574208477152
d1	100	13	371.7941910428156	44.303618534503634	44.303618534453776	1	0	1	0.40619750524853815
d1	100	14	200.67362329657635	41.236930467111286	41.23690561275813	1	0	1	0.4015898467613718
d1	100	15	310.47200285793934	18.085562237229848	18.085561827680568	1	0	1	0.45861901713796105
d1	100	16	369.4151121964132	37.23538073331785	37.23538073331669	1	0	1	0.4459275953119987
d1	100	17	230.98729647671658	41.73170931995979	41.73170931983415	1	0	1	0.3894829377578408
d1	100	18	364.5434409592584	51.75614314554672	51.75608525003969	1	0	1	0.45013626750819274
d1	100	19	204.51336255722174	34.2705098077415	34.27050980772857	1	0	1	0.3988979270321491
d1	100	20	288.0490708893062	27.831868484146113	27.831868220987147	1	0	1	0.4616201221080515
d1	100	21	298.6645813412807	17.77242184603729	17.772413155727254	1	0	1	0.43534351785817327
d1	100	22	362.68660454582897	50.64989996762042	50.64989996761647	1	0	1	0.4417183784082453
d1	100	23	210.736427264285	54.760095312248964	54.76008824606533	1	0	1	0.48746912147861665
d1	100	24	312.6297312289465	36.77198164202384	36.77198164199248	1	0	1	0.4542203724699252
d1	100	25	319.85029587045005	17.112584136179596	17.112584131647274	1	0	1	0.43451896001525514
d1	100	26	267.6745917609089	16.362617628886685	16.362603259151772	1	0	1	0.4730723587177227
d1	100	27	325.89173091765895	46.87642891101389	46.87642890685434	1	0	1	0.4797043898794191
d1	100	28	269.07642110653717	23.134160641935072	23.1341548463061	1	0	1	0.4952232279111076
d1	100	29	280.2799209235211	70.61300211047181	70.61300211045223	1	0	1	0.4136586205126369
d1	100	30	246.37869974940918	40.17720059256558	40.17720059255665	1	0	1	0.30283282433383907
