Diamond	nTrees	Replicate	Net0_lnL	Net1_lnL	Net2_lnL	best_h	RF_dist	HBS	gamma
d1	100	0	350.85561320156063	62.297868619607264	62.29786861960337	1	0	1	0.40616379464493263
d1	100	1	292.7000684918845	38.13564556404485	38.135645563993	1	0	1	0.4928258787502149
d1	100	2	230.08841420457722	29.53342769625243	29.53342769624414	1	0	1	0.4539532963079813
d1	100	3	203.01109741112845	28.46854437047683	28.468459150969032	1	0	1	0.44266790098552766
d1	100	4	172.7212904135984	39.54172043651486	39.54172043645145	1	0	1	0.321523489191436
d1	100	5	269.208029600613	70.60498690192863	70.60498602086697	1	0	1	0.40657446669965946
d1	100	6	176.78214556010607	52.27297686816458	52.272976868154764	1	0	1	0.43974274920955597
d1	100	7	268.1278727535865	31.610949128543634	31.61094912334545	1	4	0	NA
d1	100	8	63.78073267062647	36.47992004672533	36.47991571852755	1	2	1	NA
d1	100	9	191.85248329015133	47.0696696807129	47.06966968068152	1	0	1	0.4970943100319587
d1	100	10	202.78798299508406	41.46327695663157	41.46327695662468	1	0	1	0.49517726540737655
d1	100	11	178.56684355655992	54.92870727371846	54.928707273621924	1	0	1	0.30724389196827306
d1	100	12	264.6608280289758	86.46888211294682	86.46888211291686	1	0	1	0.3765217648968881
d1	100	13	260.91309401743615	45.78704463356403	45.787044633560285	1	0	1	0.41605840137161
d1	100	14	138.6835729692942	36.77663097106844	36.776630971013404	1	6	0	NA
d1	100	15	268.62573889839	36.35386468525599	36.35386468523181	1	0	1	0.4297906256230331
d1	100	16	202.16484163138864	39.487625866233174	39.48762586077883	1	0	1	0.4282828419967403
d1	100	17	166.75679796515132	33.65883676308976	33.658836763015934	1	0	1	0.4148069663591464
d1	100	18	293.3383940518806	29.11119455685349	29.111194552949843	1	0	1	0.487036542489632
d1	100	19	165.3516995834383	28.799571086036618	28.799571086005386	1	0	1	0.33583525712381973
d1	100	20	140.21631821163405	30.901817838891244	30.90180973477119	1	4	0	NA
d1	100	21	254.78806354001736	54.070469246291715	54.07046924621933	1	6	0	NA
d1	100	22	298.5887246527325	39.54226016067037	39.542260160654266	1	0	1	0.42690570324755234
d1	100	23	221.1357453249427	44.521495125137164	44.52149511384724	1	0	1	0.4543237599081003
d1	100	24	161.31876547510402	39.58980734687141	39.5898073468166	1	0	1	0.3027581492149589
d1	100	25	245.7085127527615	35.227133463753596	35.227133463722865	1	0	1	0.4661711151494382
d1	100	26	185.38202043693227	27.888272424820688	27.88827242468351	1	0	1	0.4600754546833521
d1	100	27	345.5164283263987	36.59252877900307	36.59252877895535	1	0	1	0.4950122612668691
d1	100	28	205.18984055275513	55.73199777013449	55.73199775820896	1	0	1	0.3812501555111912
d1	100	29	252.1468507019457	43.210847459388894	43.21084745938299	1	4	0	NA
